Figure,Repetition,Seed,DistributionSeed,p,Method,Epsilon,Accuracy,Unfairness,RuntimeSeconds
2,0,783,777,0.9,Our Eps-Fair,0.05,0.696,0.08816657064208436,0.36778010000125505
2,0,783,777,0.9,Our Eps-Fair,0.1,0.757,0.1302093335893989,0.2279428000038024
2,0,783,777,0.9,Our Eps-Fair,0.15,0.809,0.17252416618654376,0.23334579999209382
2,0,783,777,0.9,Our Eps-Fair,0.2,0.869,0.213974777543051,0.25190410000504926
2,0,784,777,0.99,Unfair,,0.942,0.35639412997903563,0.025358499988215044
2,0,784,777,0.99,Our Eps-Fair,0.0,0.537,0.035531183985312936,0.28482219998841174
2,0,784,777,0.99,Our Eps-Fair,0.05,0.624,0.09238749193293008,0.24912540000514127
2,0,784,777,0.99,Our Eps-Fair,0.1,0.688,0.13742278661648047,0.25114079998456873
2,0,784,777,0.99,Our Eps-Fair,0.15,0.751,0.2021437361456843,0.2398838000081014
2,0,784,777,0.99,Our Eps-Fair,0.2,0.818,0.25863126375410367,0.3143800999969244
2,1,10778,10777,0.5,Unfair,,0.877,0.04415530375776197,0.029390099982265383
2,1,10778,10777,0.5,Our Eps-Fair,0.0,0.867,0.06009538441841111,0.26395500000217
2,1,10778,10777,0.5,Our Eps-Fair,0.05,0.877,0.046187824082965234,0.02494719999958761
2,1,10778,10777,0.5,Our Eps-Fair,0.1,0.878,0.046187824082965234,0.00837860000319779
2,1,10778,10777,0.5,Our Eps-Fair,0.15,0.878,0.046187824082965234,0.007664500008104369
2,1,10778,10777,0.5,Our Eps-Fair,0.2,0.878,0.046187824082965234,0.008580499998060986
2,1,10779,10777,0.6,Unfair,,0.874,0.10361107977892006,0.02777099999366328
2,1,10779,10777,0.6,Our Eps-Fair,0.0,0.839,0.05477851721748658,0.2516532000154257
2,1,10779,10777,0.6,Our Eps-Fair,0.05,0.868,0.10176606132873556,0.08824780001305044
2,1,10779,10777,0.6,Our Eps-Fair,0.1,0.876,0.10142767366538294,0.008662099979119375
2,1,10779,10777,0.6,Our Eps-Fair,0.15,0.875,0.10176606132873556,0.008392699994146824
2,1,10779,10777,0.6,Our Eps-Fair,0.2,0.875,0.10176606132873556,0.00915030000032857
2,1,10780,10777,0.7,Unfair,,0.887,0.16603797736718523,0.030937799980165437
2,1,10780,10777,0.7,Our Eps-Fair,0.0,0.764,0.04977779200051201,0.20032410000567324
2,1,10780,10777,0.7,Our Eps-Fair,0.05,0.813,0.09607145857250861,0.19453900001826696
2,1,10780,10777,0.7,Our Eps-Fair,0.1,0.855,0.1600257609273934,0.21423119999235496
2,1,10780,10777,0.7,Our Eps-Fair,0.15,0.888,0.17401426451352248,0.10162420000415295
2,1,10780,10777,0.7,Our Eps-Fair,0.2,0.886,0.1680500498017929,0.00781700000516139
2,1,10781,10777,0.75,Unfair,,0.894,0.2117822162473593,0.02948239998659119
2,1,10781,10777,0.75,Our Eps-Fair,0.0,0.72,0.05356571282248257,0.17040220001945272
2,1,10781,10777,0.75,Our Eps-Fair,0.05,0.792,0.08437359964150823,0.31278439998277463
2,1,10781,10777,0.75,Our Eps-Fair,0.1,0.849,0.1355707061007618,0.2682321000029333
2,1,10781,10777,0.75,Our Eps-Fair,0.15,0.888,0.16376992510082583,0.29127089999383315
2,1,10781,10777,0.75,Our Eps-Fair,0.2,0.899,0.20981371231035142,0.11287859998992644
2,1,10782,10777,0.8,Unfair,,0.872,0.24188070770547737,0.03214600001228973
2,1,10782,10777,0.8,Our Eps-Fair,0.0,0.694,0.03987743558768114,0.2615012999740429
2,1,10782,10777,0.8,Our Eps-Fair,0.05,0.751,0.07587873163433884,0.20612059999257326
2,1,10782,10777,0.8,Our Eps-Fair,0.1,0.814,0.1199283174194271,0.20906429999740794
2,1,10782,10777,0.8,Our Eps-Fair,0.15,0.856,0.16793004548163734,0.2675761999853421
2,1,10782,10777,0.8,Our Eps-Fair,0.2,0.896,0.1998591949310175,0.33601170001202263
2,1,10783,10777,0.9,Unfair,,0.865,0.35329796817135417,0.028358499985188246
2,1,10783,10777,0.9,Our Eps-Fair,0.0,0.574,0.06710039035131618,0.19352400000207126
2,1,10783,10777,0.9,Our Eps-Fair,0.05,0.64,0.09652687418676809,0.24219859999720939
2,1,10783,10777,0.9,Our Eps-Fair,0.1,0.701,0.16210589530577518,0.23518459999468178
2,1,10783,10777,0.9,Our Eps-Fair,0.15,0.761,0.20420378340506454,0.22459789999993518
2,1,10783,10777,0.9,Our Eps-Fair,0.2,0.815,0.2644980482434191,0.19849380000960082
2,1,10784,10777,0.99,Unfair,,0.904,0.35412474849094566,0.03041869998560287
2,1,10784,10777,0.99,Our Eps-Fair,0.0,0.458,0.09535143265157545,0.26135319998138584
2,1,10784,10777,0.99,Our Eps-Fair,0.05,0.529,0.09183930621502374,0.27017820000764914
2,1,10784,10777,0.99,Our Eps-Fair,0.1,0.595,0.13394882215759768,0.3885924999776762
2,1,10784,10777,0.99,Our Eps-Fair,0.15,0.658,0.19068686472713017,0.2961187000037171
2,1,10784,10777,0.99,Our Eps-Fair,0.2,0.734,0.26188142773139833,0.3271628999791574
2,2,20778,20777,0.5,Unfair,,0.841,0.05471606484212893,0.03102760002366267
2,2,20778,20777,0.5,Our Eps-Fair,0.0,0.827,0.06960615510577584,0.17029720000573434
2,2,20778,20777,0.5,Our Eps-Fair,0.05,0.838,0.044798702836341464,0.06220350001240149
2,2,20778,20777,0.5,Our Eps-Fair,0.1,0.84,0.05494884792441776,0.008602999994764104
2,2,20778,20777,0.5,Our Eps-Fair,0.15,0.838,0.0544832817598401,0.008285899995826185
2,2,20778,20777,0.5,Our Eps-Fair,0.2,0.837,0.05494884792441776,0.00845689998823218
2,2,20779,20777,0.6,Unfair,,0.857,0.09221311475409835,0.03136140000424348
2,2,20779,20777,0.6,Our Eps-Fair,0.0,0.833,0.07405865778688525,0.28698169998824596
2,2,20779,20777,0.6,Our Eps-Fair,0.05,0.858,0.0921170594262295,0.1384820999810472
2,2,20779,20777,0.6,Our Eps-Fair,0.1,0.86,0.09221311475409835,0.007856000011088327
2,2,20779,20777,0.6,Our Eps-Fair,0.15,0.859,0.09221311475409835,0.008853899984387681
2,2,20779,20777,0.6,Our Eps-Fair,0.2,0.86,0.09416623975409835,0.009009400004288182
2,2,20780,20777,0.7,Unfair,,0.843,0.16276267592057064,0.029334599996218458
2,2,20780,20777,0.7,Our Eps-Fair,0.0,0.728,0.0600539811066127,0.19503859998076223
2,2,20780,20777,0.7,Our Eps-Fair,0.05,0.784,0.09515776621039779,0.31589899997925386
2,2,20780,20777,0.7,Our Eps-Fair,0.1,0.835,0.1401098901098901,0.20557950000511482
2,2,20780,20777,0.7,Our Eps-Fair,0.15,0.841,0.17079557869031553,0.045000000012805685
2,2,20780,20777,0.7,Our Eps-Fair,0.2,0.841,0.1611400295610822,0.007790799980284646
2,2,20781,20777,0.75,Unfair,,0.852,0.23609710012649915,0.02888080000411719
2,2,20781,20777,0.75,Our Eps-Fair,0.0,0.708,0.06280123616915662,0.2170777999854181
2,2,20781,20777,0.75,Our Eps-Fair,0.05,0.772,0.09276873068485691,0.1904215000104159
2,2,20781,20777,0.75,Our Eps-Fair,0.1,0.831,0.16048582088357272,0.26733440000680275
2,2,20781,20777,0.75,Our Eps-Fair,0.15,0.854,0.20624169348769433,0.22889969998504966
2,2,20781,20777,0.75,Our Eps-Fair,0.2,0.854,0.2301484363741173,0.18932760000461712
2,2,20782,20777,0.8,Unfair,,0.867,0.2435429376631279,0.03045140000176616
2,2,20782,20777,0.8,Our Eps-Fair,0.0,0.688,0.07324142127427904,0.2363924999954179
2,2,20782,20777,0.8,Our Eps-Fair,0.05,0.733,0.10365726729756129,0.20268129999749362
2,2,20782,20777,0.8,Our Eps-Fair,0.1,0.781,0.1457462650718163,0.2855498999997508
2,2,20782,20777,0.8,Our Eps-Fair,0.15,0.833,0.1897807881379001,0.26185280000208877
2,2,20782,20777,0.8,Our Eps-Fair,0.2,0.864,0.2458247265856431,0.16558420000365004
2,2,20783,20777,0.9,Unfair,,0.854,0.362813451253805,0.02892400001292117
2,2,20783,20777,0.9,Our Eps-Fair,0.0,0.598,0.06550026200104801,0.18503490000148304
2,2,20783,20777,0.9,Our Eps-Fair,0.05,0.66,0.11152844611378446,0.2171659000159707
2,2,20783,20777,0.9,Our Eps-Fair,0.1,0.704,0.13950455801823208,0.23186749999877065
2,2,20783,20777,0.9,Our Eps-Fair,0.15,0.764,0.20547682190728764,0.20468950000940822
2,2,20783,20777,0.9,Our Eps-Fair,0.2,0.82,0.24943699774799102,0.2181888000050094
2,2,20784,20777,0.99,Unfair,,0.897,0.3575757575757576,0.0326962000108324
2,2,20784,20777,0.99,Our Eps-Fair,0.0,0.514,0.026782678267826765,0.24988619997748174
2,2,20784,20777,0.99,Our Eps-Fair,0.05,0.601,0.0971897189718972,0.21975310001289472
2,2,20784,20777,0.99,Our Eps-Fair,0.1,0.671,0.14635463546354638,0.30668430001242086
2,2,20784,20777,0.99,Our Eps-Fair,0.15,0.735,0.19747974797479745,0.237435999995796
2,2,20784,20777,0.99,Our Eps-Fair,0.2,0.787,0.2633063306330633,0.1849997999961488
2,3,30778,30777,0.5,Unfair,,0.893,0.0349157537318214,0.028682599979219958
2,3,30778,30777,0.5,Our Eps-Fair,0.0,0.891,0.05080402331987954,0.24416880001081154
2,3,30778,30777,0.5,Our Eps-Fair,0.05,0.895,0.03078352232686271,0.009049300017068163
2,3,30778,30777,0.5,Our Eps-Fair,0.1,0.896,0.03685373822794544,0.007550100010121241
2,3,30778,30777,0.5,Our Eps-Fair,0.15,0.894,0.032721506822986746,0.00785090000135824
2,3,30778,30777,0.5,Our Eps-Fair,0.2,0.892,0.03478762252546608,0.01055199999245815
2,3,30779,30777,0.6,Unfair,,0.876,0.0733562934251737,0.03155859999242239
2,3,30779,30777,0.6,Our Eps-Fair,0.0,0.846,0.061364245456981825,0.31329260001075454
2,3,30779,30777,0.6,Our Eps-Fair,0.05,0.877,0.07535230140920564,0.26205610000761226
2,3,30779,30777,0.6,Our Eps-Fair,0.1,0.877,0.07136028544114177,0.011383000004570931
2,3,30779,30777,0.6,Our Eps-Fair,0.15,0.879,0.0713682854731419,0.010059399995952845
2,3,30779,30777,0.6,Our Eps-Fair,0.2,0.877,0.07336429345717384,0.013182399998186156
2,3,30780,30777,0.7,Unfair,,0.868,0.2133388831967213,0.03730980001273565
2,3,30780,30777,0.7,Our Eps-Fair,0.0,0.726,0.07357838114754098,0.29382130000158213
2,3,30780,30777,0.7,Our Eps-Fair,0.05,0.794,0.10732581967213115,0.21477669998421334
2,3,30780,30777,0.7,Our Eps-Fair,0.1,0.85,0.15525742827868852,0.22516569998697378
2,3,30780,30777,0.7,Our Eps-Fair,0.15,0.87,0.2092405225409836,0.013558400009060279
2,3,30780,30777,0.7,Our Eps-Fair,0.2,0.87,0.2092405225409836,0.012479400000302121
2,3,30781,30777,0.75,Unfair,,0.885,0.21739547832765327,0.03637980000348762
2,3,30781,30777,0.75,Our Eps-Fair,0.0,0.732,0.07928926862829805,0.21178539999527857
2,3,30781,30777,0.75,Our Eps-Fair,0.05,0.79,0.11457783324533194,0.27110779998474754
2,3,30781,30777,0.75,Our Eps-Fair,0.1,0.855,0.15260244163906622,0.24212169999373145
2,3,30781,30777,0.75,Our Eps-Fair,0.15,0.886,0.2007792124673995,0.2983863000117708
2,3,30781,30777,0.75,Our Eps-Fair,0.2,0.885,0.22343557496919952,0.010450500005390495
2,3,30782,30777,0.8,Unfair,,0.876,0.2525400406406503,0.027329999982612208
2,3,30782,30777,0.8,Our Eps-Fair,0.0,0.687,0.026864429830877307,0.4403172000020277
2,3,30782,30777,0.8,Our Eps-Fair,0.05,0.742,0.061264980239683825,0.2661389999848325
2,3,30782,30777,0.8,Our Eps-Fair,0.1,0.802,0.12729003664058625,0.2707308999961242
2,3,30782,30777,0.8,Our Eps-Fair,0.15,0.862,0.18725899614393832,0.18816910000168718
2,3,30782,30777,0.8,Our Eps-Fair,0.2,0.886,0.26136418182690924,0.2032996999914758
2,3,30783,30777,0.9,Unfair,,0.883,0.3541066513027335,0.03287339999224059
2,3,30783,30777,0.9,Our Eps-Fair,0.0,0.578,0.039834197554573986,0.26819519998389296
2,3,30783,30777,0.9,Our Eps-Fair,0.05,0.642,0.07387491197746623,0.23669419999350794
2,3,30783,30777,0.9,Our Eps-Fair,0.1,0.731,0.13824339030791882,0.17677130000083707
2,3,30783,30777,0.9,Our Eps-Fair,0.15,0.793,0.20232379489149221,0.2580782999866642
2,3,30783,30777,0.9,Our Eps-Fair,0.2,0.838,0.23830100505729468,0.2259619999967981
2,3,30784,30777,0.99,Unfair,,0.928,0.35943775100401604,0.03646699999808334
2,3,30784,30777,0.99,Our Eps-Fair,0.0,0.537,0.05905694491111858,0.29410339999594726
2,3,30784,30777,0.99,Our Eps-Fair,0.05,0.606,0.09371349941599069,0.23272280002129264
2,3,30784,30777,0.99,Our Eps-Fair,0.1,0.672,0.16555464887438198,0.3334614999766927
2,3,30784,30777,0.99,Our Eps-Fair,0.15,0.724,0.18958703339253424,0.22026220001862384
2,3,30784,30777,0.99,Our Eps-Fair,0.2,0.791,0.2415558648938383,0.33137520001037046
2,4,40778,40777,0.5,Unfair,,0.875,0.041937509750351015,0.03002179999020882
2,4,40778,40777,0.5,Our Eps-Fair,0.0,0.869,0.09190330851910666,0.2710117000096943
2,4,40778,40777,0.5,Our Eps-Fair,0.05,0.874,0.03994943817977448,0.008111300005111843
2,4,40778,40777,0.5,Our Eps-Fair,0.1,0.875,0.03994943817977448,0.008872100006556138
2,4,40778,40777,0.5,Our Eps-Fair,0.15,0.875,0.03994943817977448,0.007939499977510422
2,4,40778,40777,0.5,Our Eps-Fair,0.2,0.874,0.041937509750351015,0.00836519998847507
2,4,40779,40777,0.6,Unfair,,0.883,0.08127632510530042,0.03099799997289665
2,4,40779,40777,0.6,Our Eps-Fair,0.0,0.842,0.02265209060836243,0.41516460001002997
2,4,40779,40777,0.6,Our Eps-Fair,0.05,0.878,0.06928427713710855,0.13732900001923554
2,4,40779,40777,0.6,Our Eps-Fair,0.1,0.88,0.08127632510530042,0.010569100006250665
2,4,40779,40777,0.6,Our Eps-Fair,0.15,0.882,0.08127632510530042,0.010469400003785267
2,4,40779,40777,0.6,Our Eps-Fair,0.2,0.883,0.08127632510530042,0.007930699997814372
2,4,40780,40777,0.7,Unfair,,0.886,0.14725126691898133,0.028533500008052215
2,4,40780,40777,0.7,Our Eps-Fair,0.0,0.753,0.05951311822438898,0.17506850001518615
2,4,40780,40777,0.7,Our Eps-Fair,0.05,0.817,0.1123227917121047,0.20841059999656864
2,4,40780,40777,0.7,Our Eps-Fair,0.1,0.864,0.16748989672204756,0.1567479000077583
2,4,40780,40777,0.7,Our Eps-Fair,0.15,0.883,0.14915966386554622,0.10127020001527853
2,4,40780,40777,0.7,Our Eps-Fair,0.2,0.885,0.14534286997241644,0.008857599983457476
2,4,40781,40777,0.75,Unfair,,0.891,0.21827078107309034,0.02935820000129752
2,4,40781,40777,0.75,Our Eps-Fair,0.0,0.725,0.0642125856667907,0.19294360000640154
2,4,40781,40777,0.75,Our Eps-Fair,0.05,0.801,0.11836319918704066,0.1956449999997858
2,4,40781,40777,0.75,Our Eps-Fair,0.1,0.846,0.14845309680697416,0.2842402999813203
2,4,40781,40777,0.75,Our Eps-Fair,0.15,0.89,0.20097139039251694,0.3072558999992907
2,4,40781,40777,0.75,Our Eps-Fair,0.2,0.891,0.21629839448531912,0.055797900015022606
2,4,40782,40777,0.8,Unfair,,0.89,0.24132744495647718,0.027770899992901832
2,4,40782,40777,0.8,Our Eps-Fair,0.0,0.647,0.04285074244751663,0.2020933000021614
2,4,40782,40777,0.8,Our Eps-Fair,0.05,0.714,0.06954045058883768,0.26730430001043715
2,4,40782,40777,0.8,Our Eps-Fair,0.1,0.777,0.11949564772145418,0.32666489999974146
2,4,40782,40777,0.8,Our Eps-Fair,0.15,0.851,0.19882872503840243,0.3343629000009969
2,4,40782,40777,0.8,Our Eps-Fair,0.2,0.893,0.24891193036354328,0.21269590000156313
2,4,40783,40777,0.9,Unfair,,0.912,0.32209959558544105,0.027972100011538714
2,4,40783,40777,0.9,Our Eps-Fair,0.0,0.577,0.04196951090239248,0.2483277999854181
2,4,40783,40777,0.9,Our Eps-Fair,0.05,0.66,0.096079458860519,0.1981521999987308
2,4,40783,40777,0.9,Our Eps-Fair,0.1,0.748,0.1480333291998512,0.24620530000538565
2,4,40783,40777,0.9,Our Eps-Fair,0.15,0.807,0.18393062150237408,0.19210260000545532
2,4,40783,40777,0.9,Our Eps-Fair,0.2,0.859,0.24010064362317043,0.21256030001677573
2,4,40784,40777,0.99,Unfair,,0.911,0.3604887983706721,0.029255400004331023
2,4,40784,40777,0.99,Our Eps-Fair,0.0,0.507,0.07339978152921547,0.29178259999025613
2,4,40784,40777,0.99,Our Eps-Fair,0.05,0.577,0.08768040845233857,0.3418734000006225
2,4,40784,40777,0.99,Our Eps-Fair,0.1,0.645,0.13109447460977358,0.22590400002081878
2,4,40784,40777,0.99,Our Eps-Fair,0.15,0.721,0.2041501446468656,0.2424417000147514
2,4,40784,40777,0.99,Our Eps-Fair,0.2,0.775,0.24574362093318233,0.2416633999964688
2,5,50778,50777,0.5,Unfair,,0.871,0.026905273433593002,0.03119229999720119
2,5,50778,50777,0.5,Our Eps-Fair,0.0,0.855,0.04274037711391432,0.22060079997754656
2,5,50778,50777,0.5,Our Eps-Fair,0.05,0.873,0.02893367099951591,0.007556800002930686
2,5,50778,50777,0.5,Our Eps-Fair,0.1,0.871,0.029045692955819324,0.00988979998510331
2,5,50778,50777,0.5,Our Eps-Fair,0.15,0.871,0.031018079543590538,0.008214400004362687
2,5,50778,50777,0.5,Our Eps-Fair,0.2,0.874,0.02735736204296041,0.007843400002457201
2,5,50779,50777,0.6,Unfair,,0.86,0.09066180235535075,0.028898399992613122
2,5,50779,50777,0.6,Our Eps-Fair,0.0,0.837,0.059203789042498706,0.18624819998512976
2,5,50779,50777,0.6,Our Eps-Fair,0.05,0.859,0.08522145417306709,0.12198980001267046
2,5,50779,50777,0.6,Our Eps-Fair,0.1,0.86,0.08864567332309269,0.009167400014121085
2,5,50779,50777,0.6,Our Eps-Fair,0.15,0.86,0.08864567332309269,0.008720099984202534
2,5,50779,50777,0.6,Our Eps-Fair,0.2,0.861,0.09066180235535075,0.008639500010758638
2,5,50780,50777,0.7,Unfair,,0.872,0.152280701754386,0.030238700011977926
2,5,50780,50777,0.7,Our Eps-Fair,0.0,0.752,0.044511278195488724,0.2612647000059951
2,5,50780,50777,0.7,Our Eps-Fair,0.05,0.796,0.05934837092731829,0.22016910000820644
2,5,50780,50777,0.7,Our Eps-Fair,0.1,0.846,0.10516290726817043,0.20752639998681843
2,5,50780,50777,0.7,Our Eps-Fair,0.15,0.866,0.1574937343358396,0.10849390001385473
2,5,50780,50777,0.7,Our Eps-Fair,0.2,0.874,0.15769423558897244,0.008043900015763938
2,5,50781,50777,0.75,Unfair,,0.867,0.22399999999999998,0.030483000009553507
2,5,50781,50777,0.75,Our Eps-Fair,0.0,0.695,0.04000000000000001,0.23684460000367835
2,5,50781,50777,0.75,Our Eps-Fair,0.05,0.765,0.07,0.197982099984074
2,5,50781,50777,0.75,Our Eps-Fair,0.1,0.817,0.116,0.31070590001763776
2,5,50781,50777,0.75,Our Eps-Fair,0.15,0.86,0.19399999999999998,0.13765089999651536
2,5,50781,50777,0.75,Our Eps-Fair,0.2,0.872,0.202,0.08470879998640157
2,5,50782,50777,0.8,Unfair,,0.862,0.26055616889870237,0.031114900019019842
2,5,50782,50777,0.8,Our Eps-Fair,0.0,0.682,0.04265668250692012,0.1723786999937147
2,5,50782,50777,0.8,Our Eps-Fair,0.05,0.75,0.08923342773484376,0.18612040000152774
2,5,50782,50777,0.8,Our Eps-Fair,0.1,0.807,0.11661786588585417,0.23292069998569787
2,5,50782,50777,0.8,Our Eps-Fair,0.15,0.862,0.17937086993391899,0.29893879999872297
2,5,50782,50777,0.8,Our Eps-Fair,0.2,0.885,0.21336341381462104,0.33351820000098087
2,5,50783,50777,0.9,Unfair,,0.88,0.32564102564102565,0.027797399990959093
2,5,50783,50777,0.9,Our Eps-Fair,0.0,0.585,0.025961538461538453,0.24600530002499
2,5,50783,50777,0.9,Our Eps-Fair,0.05,0.656,0.0798076923076923,0.26738669999758713
2,5,50783,50777,0.9,Our Eps-Fair,0.1,0.715,0.11778846153846151,0.398313900019275
2,5,50783,50777,0.9,Our Eps-Fair,0.15,0.769,0.1786858974358974,0.24892220000037923
2,5,50783,50777,0.9,Our Eps-Fair,0.2,0.824,0.21442307692307688,0.2386289999994915
2,5,50784,50777,0.99,Unfair,,0.918,0.3603960396039604,0.026500500011024997
2,5,50784,50777,0.99,Our Eps-Fair,0.0,0.491,0.11691169116911693,0.25081699999282137
2,5,50784,50777,0.99,Our Eps-Fair,0.05,0.564,0.08900890089008902,0.20847079998929985
2,5,50784,50777,0.99,Our Eps-Fair,0.1,0.646,0.13685368536853687,0.2904994999989867
2,5,50784,50777,0.99,Our Eps-Fair,0.15,0.711,0.1766176617661766,0.26570669998181984
2,5,50784,50777,0.99,Our Eps-Fair,0.2,0.773,0.2094809480948095,0.26341189999948256
2,6,60778,60777,0.5,Unfair,,0.863,0.054569112200980874,0.03743399999802932
2,6,60778,60777,0.5,Our Eps-Fair,0.0,0.858,0.0781102992693424,0.33906550001120195
2,6,60778,60777,0.5,Our Eps-Fair,0.05,0.861,0.056390751676508866,0.01311359999817796
2,6,60778,60777,0.5,Our Eps-Fair,0.1,0.864,0.05651085977379641,0.009530399984214455
2,6,60778,60777,0.5,Our Eps-Fair,0.15,0.864,0.05250725653087779,0.008753500005695969
2,6,60778,60777,0.5,Our Eps-Fair,0.2,0.862,0.056390751676508866,0.009138900000834838
2,6,60779,60777,0.6,Unfair,,0.862,0.09562447986684591,0.030755600018892437
2,6,60779,60777,0.6,Our Eps-Fair,0.0,0.841,0.04727610268228667,0.28930050000781193
2,6,60779,60777,0.6,Our Eps-Fair,0.05,0.862,0.08730234940144677,0.1451365000102669
2,6,60779,60777,0.6,Our Eps-Fair,0.1,0.864,0.09556046347865055,0.00828650000039488
2,6,60779,60777,0.6,Our Eps-Fair,0.15,0.862,0.09149542282824402,0.008648699993500486
2,6,60779,60777,0.6,Our Eps-Fair,0.2,0.862,0.09352794315344728,0.0075499000085983425
2,6,60780,60777,0.7,Unfair,,0.88,0.19378446115288217,0.032047800021246076
2,6,60780,60777,0.7,Our Eps-Fair,0.0,0.745,0.0580451127819549,0.2642899999918882
2,6,60780,60777,0.7,Our Eps-Fair,0.05,0.816,0.11839598997493735,0.21006660000421107
2,6,60780,60777,0.7,Our Eps-Fair,0.1,0.858,0.16691729323308271,0.21672699999180622
2,6,60780,60777,0.7,Our Eps-Fair,0.15,0.883,0.1899749373433584,0.10599320000619628
2,6,60780,60777,0.7,Our Eps-Fair,0.2,0.88,0.19568922305764408,0.007652400003280491
2,6,60781,60777,0.75,Unfair,,0.883,0.25290116046418565,0.0311816000030376
2,6,60781,60777,0.75,Our Eps-Fair,0.0,0.739,0.038975590236094426,0.23237310000695288
2,6,60781,60777,0.75,Our Eps-Fair,0.05,0.788,0.07482993197278912,0.19207339998683892
2,6,60781,60777,0.75,Our Eps-Fair,0.1,0.841,0.13693477390956382,0.14767000000574626
2,6,60781,60777,0.75,Our Eps-Fair,0.15,0.874,0.170828331332533,0.1784091999870725
2,6,60781,60777,0.75,Our Eps-Fair,0.2,0.888,0.22701080432172865,0.15511449999758042
2,6,60782,60777,0.8,Unfair,,0.864,0.29876519506078025,0.03126940000220202
2,6,60782,60777,0.8,Our Eps-Fair,0.0,0.683,0.03937615750463003,0.22051109999301843
2,6,60782,60777,0.8,Our Eps-Fair,0.05,0.764,0.08736834947339789,0.24213110000710003
2,6,60782,60777,0.8,Our Eps-Fair,0.1,0.818,0.1387325549302197,0.27808819999336265
2,6,60782,60777,0.8,Our Eps-Fair,0.15,0.844,0.17678470713882855,0.172655800008215
2,6,60782,60777,0.8,Our Eps-Fair,0.2,0.863,0.24133296533186133,0.23542740000993945
2,6,60783,60777,0.9,Unfair,,0.864,0.3349045817604134,0.02960549999261275
2,6,60783,60777,0.9,Our Eps-Fair,0.0,0.576,0.016712734333315937,0.23107119998894632
2,6,60783,60777,0.9,Our Eps-Fair,0.05,0.676,0.08596266713737259,0.260272299987264
2,6,60783,60777,0.9,Our Eps-Fair,0.1,0.741,0.13734048485383377,0.31471080001210794
2,6,60783,60777,0.9,Our Eps-Fair,0.15,0.795,0.19829021426479615,0.25314260000595823
