Figure,Repetition,Seed,DistributionSeed,p,Accuracy,Unfairness,RuntimeSeconds
1,8,80782,80777,0.8,0.9854,0.2150759019113761,0.0
1,8,80783,80777,0.9,0.9862,0.2838723872387239,0.0
1,8,80784,80777,0.99,0.9912,0.34568672359776176,0.0
1,9,90778,90777,0.5,0.9734,0.027360686979229915,0.0
1,9,90779,90777,0.6,0.9784,0.06333537013365922,0.0
1,9,90780,90777,0.7,0.9798,0.15960211629097015,0.0
1,9,90781,90777,0.75,0.98,0.17553119395846328,0.0
1,9,90782,90777,0.8,0.9812,0.20865012189929616,0.0
1,9,90783,90777,0.9,0.9804,0.279640055005291,0.0
1,9,90784,90777,0.99,0.989,0.334440550961224,0.0
1,10,100778,100777,0.5,0.9796,0.01779953917050689,0.0
1,10,100779,100777,0.6,0.9756,0.07910290291520702,0.0
1,10,100780,100777,0.7,0.9776,0.14427542120738945,0.0
1,10,100781,100777,0.75,0.9774,0.17989511958047832,0.0
1,10,100782,100777,0.8,0.9824,0.20581553984580978,0.0
1,10,100783,100777,0.9,0.9828,0.2868495839247607,0.0
1,10,100784,100777,0.99,0.987,0.3369108645422994,0.0
1,11,110778,110777,0.5,0.979,0.024780575309116537,0.0
1,11,110779,110777,0.6,0.9784,0.08546967520947414,0.0
1,11,110780,110777,0.7,0.9752,0.1428403422523211,0.0
1,11,110781,110777,0.75,0.9798,0.1745843549653717,0.0
1,11,110782,110777,0.8,0.9774,0.2262256371412283,0.0
1,11,110783,110777,0.9,0.984,0.2791437114711123,0.0
1,11,110784,110777,0.99,0.9904,0.3349504329721857,0.0
1,12,120778,120777,0.5,0.971,0.0273449775007856,0.0
1,12,120779,120777,0.6,0.975,0.07226348905395624,0.0
1,12,120780,120777,0.7,0.9724,0.14885735886491913,0.0
1,12,120781,120777,0.75,0.9762,0.18296932750924016,0.0
1,12,120782,120777,0.8,0.9764,0.21551920732717295,0.0
1,12,120783,120777,0.9,0.9818,0.2777400261726676,0.0
1,12,120784,120777,0.99,0.9834,0.35316561037782385,0.0
1,13,130778,130777,0.5,0.9678,0.02876738280049973,0.0
1,13,130779,130777,0.6,0.9746,0.09880718228234249,0.0
1,13,130780,130777,0.7,0.9674,0.15174626286546317,0.0
1,13,130781,130777,0.75,0.9696,0.17265831364117892,0.0
1,13,130782,130777,0.8,0.9778,0.21271080574140735,0.0
1,13,130783,130777,0.9,0.98,0.28132424931383393,0.0
1,13,130784,130777,0.99,0.9842,0.3406511120668469,0.0
1,14,140778,140777,0.5,0.9728,0.02763864134554317,0.0
1,14,140779,140777,0.6,0.9734,0.08339920948616601,0.0
1,14,140780,140777,0.7,0.976,0.14954333643093973,0.0
1,14,140781,140777,0.75,0.9792,0.1803639755198055,0.0
1,14,140782,140777,0.8,0.9788,0.2259817654137422,0.0
1,14,140783,140777,0.9,0.9766,0.28044919818968367,0.0
1,14,140784,140777,0.99,0.9842,0.339105552440857,0.0
1,15,150778,150777,0.5,0.9758,0.0059538178132389485,0.0
1,15,150779,150777,0.6,0.9756,0.0723413501755931,0.0
1,15,150780,150777,0.7,0.977,0.1502814101307647,0.0
1,15,150781,150777,0.75,0.9846,0.17918018035462496,0.0
1,15,150782,150777,0.8,0.9856,0.2255742871181986,0.0
1,15,150783,150777,0.9,0.9848,0.2864,0.0
1,15,150784,150777,0.99,0.9872,0.35137522200355203,0.0
1,16,160778,160777,0.5,0.9684,0.010952211152075564,0.0
1,16,160779,160777,0.6,0.9644,0.0802734620002509,0.0
1,16,160780,160777,0.7,0.9728,0.13716284076040636,0.0
1,16,160781,160777,0.75,0.9752,0.1745123894528883,0.0
1,16,160782,160777,0.8,0.9742,0.2150856603426414,0.0
1,16,160783,160777,0.9,0.9762,0.29153310202137833,0.0
1,16,160784,160777,0.99,0.9858,0.3466485210373223,0.0
1,17,170778,170777,0.5,0.9662,0.019372483281685338,0.0
1,17,170779,170777,0.6,0.9658,0.07713591864005345,0.0
1,17,170780,170777,0.7,0.9718,0.1544854793454441,0.0
1,17,170781,170777,0.75,0.9692,0.179716400295939,0.0
1,17,170782,170777,0.8,0.9706,0.21857138214729543,0.0
1,17,170783,170777,0.9,0.9784,0.2793997599039616,0.0
1,17,170784,170777,0.99,0.9854,0.35107602760984896,0.0
1,18,180778,180777,0.5,0.9722,0.0315964367931138,0.0
1,18,180779,180777,0.6,0.972,0.0837743655920586,0.0
1,18,180780,180777,0.7,0.9784,0.14763459445618077,0.0
1,18,180781,180777,0.75,0.9762,0.17413067144362976,0.0
1,18,180782,180777,0.8,0.9778,0.21834920969397648,0.0
1,18,180783,180777,0.9,0.9806,0.29046095746431455,0.0
1,18,180784,180777,0.99,0.9868,0.33682690902958023,0.0
1,19,190778,190777,0.5,0.9756,0.02089750384703029,0.0
1,19,190779,190777,0.6,0.974,0.07986145277783244,0.0
1,19,190780,190777,0.7,0.9742,0.15090024752146514,0.0
1,19,190781,190777,0.75,0.9786,0.1732387406963177,0.0
1,19,190782,190777,0.8,0.9794,0.2245363332319854,0.0
1,19,190783,190777,0.9,0.983,0.27826545808989317,0.0
1,19,190784,190777,0.99,0.9846,0.33833739529358753,0.0
1,20,200778,200777,0.5,0.9786,0.019957234953673353,0.0
1,20,200779,200777,0.6,0.9786,0.07050243747318347,0.0
1,20,200780,200777,0.7,0.982,0.15507766227985048,0.0
1,20,200781,200777,0.75,0.9842,0.18564283537483256,0.0
1,20,200782,200777,0.8,0.9802,0.218056250625563,0.0
1,20,200783,200777,0.9,0.9782,0.2881090155713672,0.0
1,20,200784,200777,0.99,0.9894,0.34125742183274865,0.0
1,21,210778,210777,0.5,0.976,0.015436453509091563,0.0
1,21,210779,210777,0.6,0.9774,0.08185757475525907,0.0
1,21,210780,210777,0.7,0.9764,0.14295974252421517,0.0
1,21,210781,210777,0.75,0.9772,0.17910903407650897,0.0
1,21,210782,210777,0.8,0.9758,0.2057605267469485,0.0
1,21,210783,210777,0.9,0.9796,0.28044205628309343,0.0
1,21,210784,210777,0.99,0.9886,0.34109192587855497,0.0
1,22,220778,220777,0.5,0.966,0.016586279374003143,0.0
1,22,220779,220777,0.6,0.9726,0.08268882138955254,0.0
1,22,220780,220777,0.7,0.9688,0.14918222498627265,0.0
1,22,220781,220777,0.75,0.9758,0.18261611995627341,0.0
1,22,220782,220777,0.8,0.9746,0.21476074417470237,0.0
1,22,220783,220777,0.9,0.9798,0.2844432346816588,0.0
1,22,220784,220777,0.99,0.9868,0.3361040035448187,0.0
1,23,230778,230777,0.5,0.97,0.015557340642897433,0.0
1,23,230779,230777,0.6,0.9656,0.07723008935510489,0.0
1,23,230780,230777,0.7,0.9746,0.14700759570357558,0.0
1,23,230781,230777,0.75,0.9726,0.17333586773373882,0.0
1,23,230782,230777,0.8,0.9746,0.20850701878010897,0.0
1,23,230783,230777,0.9,0.9768,0.2738902170909572,0.0
1,23,230784,230777,0.99,0.986,0.3409682580352755,0.0
1,24,240778,240777,0.5,0.9646,0.024405580576144115,0.0
1,24,240779,240777,0.6,0.972,0.0658680105388817,0.0
1,24,240780,240777,0.7,0.9684,0.14833815084398178,0.0
1,24,240781,240777,0.75,0.9734,0.17708894908898942,0.0
1,24,240782,240777,0.8,0.97,0.2141964688050469,0.0
1,24,240783,240777,0.9,0.9734,0.26954621918122545,0.0
1,24,240784,240777,0.99,0.9848,0.3332468748874239,0.0
1,25,250778,250777,0.5,0.9658,0.02662396156540886,0.0
1,25,250779,250777,0.6,0.9698,0.08115246098439377,0.0
1,25,250780,250777,0.7,0.9734,0.15930654890478246,0.0
1,25,250781,250777,0.75,0.9754,0.17839078753093618,0.0
1,25,250782,250777,0.8,0.9782,0.20841112044805377,0.0
1,25,250783,250777,0.9,0.9736,0.2767938531266171,0.0
1,25,250784,250777,0.99,0.9838,0.342830412478273,0.0
1,26,260778,260777,0.5,0.974,0.018466385532605656,0.0
1,26,260779,260777,0.6,0.9758,0.08562588330127194,0.0
1,26,260780,260777,0.7,0.974,0.13934701732618593,0.0
1,26,260781,260777,0.75,0.9762,0.17745502211691275,0.0
1,26,260782,260777,0.8,0.9768,0.21817904837982877,0.0
1,26,260783,260777,0.9,0.9826,0.2838710234899007,0.0
1,26,260784,260777,0.99,0.9864,0.3376043521199567,0.0
1,27,270778,270777,0.5,0.971,0.009944180015648618,0.0
1,27,270779,270777,0.6,0.9708,0.08234572265945239,0.0
1,27,270780,270777,0.7,0.9724,0.14252731416706377,0.0
1,27,270781,270777,0.75,0.9746,0.1754738739119297,0.0
1,27,270782,270777,0.8,0.9776,0.22470950102529047,0.0
1,27,270783,270777,0.9,0.9768,0.2741122964491858,0.0
1,27,270784,270777,0.99,0.9846,0.34458890092692906,0.0
1,28,280778,280777,0.5,0.9652,0.012886063898300354,0.0
1,28,280779,280777,0.6,0.9662,0.0763508904651751,0.0
1,28,280780,280777,0.7,0.9716,0.154569598885226,0.0
1,28,280781,280777,0.75,0.9724,0.17640132616118706,0.0
1,28,280782,280777,0.8,0.9702,0.21569809965791187,0.0
1,28,280783,280777,0.9,0.9772,0.27437303618759407,0.0
1,28,280784,280777,0.99,0.9794,0.33761627505050423,0.0
1,29,290778,290777,0.5,0.9836,0.023864015272969774,0.0
1,29,290779,290777,0.6,0.9792,0.0904723379306637,0.0
1,29,290780,290777,0.7,0.983,0.14337173021851102,0.0
1,29,290781,290777,0.75,0.9838,0.17504074092389196,0.0
1,29,290782,290777,0.8,0.985,0.20427355473601969,0.0
1,29,290783,290777,0.9,0.9842,0.26772008140663134,0.0
1,29,290784,290777,0.99,0.9912,0.34029656118624474,0.0
