Figure,Repetition,Seed,Protocol,Method,Accuracy,Unfairness,RuntimeSeconds
4,16,161177,Split 60/20/20,Exact fair,0.717,0.03777940476333361,
4,16,161177,No split 80/20,Unfair,0.887,0.21714255994174858,
4,16,161177,No split 80/20,Exact fair,0.326,0.324939688178883,
4,17,171177,Split 60/20/20,Unfair,0.883,0.2097419848612953,
4,17,171177,Split 60/20/20,Exact fair,0.711,0.05832688863154606,
4,17,171177,No split 80/20,Unfair,0.897,0.20054976979391645,
4,17,171177,No split 80/20,Exact fair,0.332,0.351652314683101,
4,18,181177,Split 60/20/20,Unfair,0.866,0.24385754301720686,
4,18,181177,Split 60/20/20,Exact fair,0.696,0.04717887154861944,
4,18,181177,No split 80/20,Unfair,0.885,0.2316926770708283,
4,18,181177,No split 80/20,Exact fair,0.294,0.336374549819928,
4,19,191177,Split 60/20/20,Unfair,0.916,0.20144549962181696,
4,19,191177,Split 60/20/20,Exact fair,0.712,0.04198432041107897,
4,19,191177,No split 80/20,Unfair,0.918,0.20153354223444148,
4,19,191177,No split 80/20,Exact fair,0.334,0.2952709111209826,
4,20,201177,Split 60/20/20,Unfair,0.866,0.21754992319508448,
4,20,201177,Split 60/20/20,Exact fair,0.697,0.037602406554019474,
4,20,201177,No split 80/20,Unfair,0.882,0.21754992319508448,
4,20,201177,No split 80/20,Exact fair,0.312,0.31698028673835127,
4,21,211177,Split 60/20/20,Unfair,0.884,0.25025614754098363,
4,21,211177,Split 60/20/20,Exact fair,0.75,0.08283171106557377,
4,21,211177,No split 80/20,Unfair,0.893,0.25249743852459017,
4,21,211177,No split 80/20,Exact fair,0.331,0.30471951844262296,
4,22,221177,Split 60/20/20,Unfair,0.894,0.17318994522926492,
4,22,221177,Split 60/20/20,Exact fair,0.73,0.031246124240351114,
4,22,221177,No split 80/20,Unfair,0.9,0.18040335905837546,
4,22,221177,No split 80/20,Exact fair,0.357,0.3422990906217619,
4,23,231177,Split 60/20/20,Unfair,0.876,0.22950340291380755,
4,23,231177,Split 60/20/20,Exact fair,0.709,0.036516730158348665,
4,23,231177,No split 80/20,Unfair,0.886,0.22564983836660138,
4,23,231177,No split 80/20,Exact fair,0.319,0.33566469982654956,
4,24,241177,Split 60/20/20,Unfair,0.869,0.20848484848484847,
4,24,241177,Split 60/20/20,Exact fair,0.673,0.04848484848484849,
4,24,241177,No split 80/20,Unfair,0.883,0.21171717171717172,
4,24,241177,No split 80/20,Exact fair,0.336,0.2804040404040404,
4,25,251177,Split 60/20/20,Unfair,0.857,0.23347932810319105,
4,25,251177,Split 60/20/20,Exact fair,0.708,0.06017070157706439,
4,25,251177,No split 80/20,Unfair,0.858,0.23410501997400973,
4,25,251177,No split 80/20,Exact fair,0.334,0.3369029856732605,
4,26,261177,Split 60/20/20,Unfair,0.888,0.22328931572629054,
4,26,261177,Split 60/20/20,Exact fair,0.696,0.0784313725490196,
4,26,261177,No split 80/20,Unfair,0.9,0.20864345738295315,
4,26,261177,No split 80/20,Exact fair,0.367,0.29479791916766707,
4,27,271177,Split 60/20/20,Unfair,0.869,0.20602341684300635,
4,27,271177,Split 60/20/20,Exact fair,0.704,0.03817737438547786,
4,27,271177,No split 80/20,Unfair,0.887,0.20405934613646093,
4,27,271177,No split 80/20,Exact fair,0.33,0.2800780828109812,
4,28,281177,Split 60/20/20,Unfair,0.873,0.19821943231878653,
4,28,281177,Split 60/20/20,Exact fair,0.73,0.0349619795487251,
4,28,281177,No split 80/20,Unfair,0.883,0.2021437361456843,
4,28,281177,No split 80/20,Exact fair,0.357,0.2950763816235154,
4,29,291177,Split 60/20/20,Unfair,0.893,0.2015363397267304,
4,29,291177,Split 60/20/20,Exact fair,0.721,0.03257104368464944,
4,29,291177,No split 80/20,Unfair,0.898,0.19943549939059596,
4,29,291177,No split 80/20,Exact fair,0.327,0.29472705112579384,
