Figure,Repetition,Seed,DistributionSeed,Method,SensitiveGroup,Class,Probability
3,7,70781,70777,Exact fair,-1,5,0.13114754098360656
3,7,70781,70777,Exact fair,1,0,0.158203125
3,7,70781,70777,Exact fair,1,1,0.18359375
3,7,70781,70777,Exact fair,1,2,0.205078125
3,7,70781,70777,Exact fair,1,3,0.166015625
3,7,70781,70777,Exact fair,1,4,0.10546875
3,7,70781,70777,Exact fair,1,5,0.181640625
3,8,80781,80777,Unfair,-1,0,0.100990099009901
3,8,80781,80777,Unfair,-1,1,0.08316831683168317
3,8,80781,80777,Unfair,-1,2,0.06534653465346535
3,8,80781,80777,Unfair,-1,3,0.29504950495049503
3,8,80781,80777,Unfair,-1,4,0.23366336633663368
3,8,80781,80777,Unfair,-1,5,0.22178217821782178
3,8,80781,80777,Unfair,1,0,0.23434343434343435
3,8,80781,80777,Unfair,1,1,0.24444444444444444
3,8,80781,80777,Unfair,1,2,0.26464646464646463
3,8,80781,80777,Unfair,1,3,0.09292929292929293
3,8,80781,80777,Unfair,1,4,0.08282828282828283
3,8,80781,80777,Unfair,1,5,0.08080808080808081
3,8,80781,80777,Exact fair,-1,0,0.14653465346534653
3,8,80781,80777,Exact fair,-1,1,0.1900990099009901
3,8,80781,80777,Exact fair,-1,2,0.1504950495049505
3,8,80781,80777,Exact fair,-1,3,0.24158415841584158
3,8,80781,80777,Exact fair,-1,4,0.13663366336633664
3,8,80781,80777,Exact fair,-1,5,0.13465346534653466
3,8,80781,80777,Exact fair,1,0,0.14343434343434344
3,8,80781,80777,Exact fair,1,1,0.12525252525252525
3,8,80781,80777,Exact fair,1,2,0.16363636363636364
3,8,80781,80777,Exact fair,1,3,0.2202020202020202
3,8,80781,80777,Exact fair,1,4,0.16363636363636364
3,8,80781,80777,Exact fair,1,5,0.18383838383838383
3,9,90781,90777,Unfair,-1,0,0.06299212598425197
3,9,90781,90777,Unfair,-1,1,0.05905511811023622
3,9,90781,90777,Unfair,-1,2,0.07874015748031496
3,9,90781,90777,Unfair,-1,3,0.28937007874015747
3,9,90781,90777,Unfair,-1,4,0.2736220472440945
3,9,90781,90777,Unfair,-1,5,0.23622047244094488
3,9,90781,90777,Unfair,1,0,0.23170731707317074
3,9,90781,90777,Unfair,1,1,0.2886178861788618
3,9,90781,90777,Unfair,1,2,0.2601626016260163
3,9,90781,90777,Unfair,1,3,0.09146341463414634
3,9,90781,90777,Unfair,1,4,0.06097560975609756
3,9,90781,90777,Unfair,1,5,0.06707317073170732
3,9,90781,90777,Exact fair,-1,0,0.13385826771653545
3,9,90781,90777,Exact fair,-1,1,0.14763779527559054
3,9,90781,90777,Exact fair,-1,2,0.1830708661417323
3,9,90781,90777,Exact fair,-1,3,0.20669291338582677
3,9,90781,90777,Exact fair,-1,4,0.18110236220472442
3,9,90781,90777,Exact fair,-1,5,0.14763779527559054
3,9,90781,90777,Exact fair,1,0,0.14634146341463414
3,9,90781,90777,Exact fair,1,1,0.16463414634146342
3,9,90781,90777,Exact fair,1,2,0.16869918699186992
3,9,90781,90777,Exact fair,1,3,0.18699186991869918
3,9,90781,90777,Exact fair,1,4,0.13821138211382114
3,9,90781,90777,Exact fair,1,5,0.1951219512195122
3,10,100781,100777,Unfair,-1,0,0.05138339920948617
3,10,100781,100777,Unfair,-1,1,0.05928853754940711
3,10,100781,100777,Unfair,-1,2,0.08695652173913043
3,10,100781,100777,Unfair,-1,3,0.24308300395256918
3,10,100781,100777,Unfair,-1,4,0.2648221343873518
3,10,100781,100777,Unfair,-1,5,0.29446640316205536
3,10,100781,100777,Unfair,1,0,0.242914979757085
3,10,100781,100777,Unfair,1,1,0.2935222672064777
3,10,100781,100777,Unfair,1,2,0.27125506072874495
3,10,100781,100777,Unfair,1,3,0.058704453441295545
3,10,100781,100777,Unfair,1,4,0.0728744939271255
3,10,100781,100777,Unfair,1,5,0.06072874493927125
3,10,100781,100777,Exact fair,-1,0,0.11067193675889328
3,10,100781,100777,Exact fair,-1,1,0.16600790513833993
3,10,100781,100777,Exact fair,-1,2,0.17984189723320157
3,10,100781,100777,Exact fair,-1,3,0.16600790513833993
3,10,100781,100777,Exact fair,-1,4,0.16600790513833993
3,10,100781,100777,Exact fair,-1,5,0.21146245059288538
3,10,100781,100777,Exact fair,1,0,0.15789473684210525
3,10,100781,100777,Exact fair,1,1,0.1862348178137652
3,10,100781,100777,Exact fair,1,2,0.20445344129554655
3,10,100781,100777,Exact fair,1,3,0.15182186234817813
3,10,100781,100777,Exact fair,1,4,0.16396761133603238
3,10,100781,100777,Exact fair,1,5,0.13562753036437247
3,11,110781,110777,Unfair,-1,0,0.08070866141732283
3,11,110781,110777,Unfair,-1,1,0.06496062992125984
3,11,110781,110777,Unfair,-1,2,0.06496062992125984
3,11,110781,110777,Unfair,-1,3,0.24606299212598426
3,11,110781,110777,Unfair,-1,4,0.23818897637795275
3,11,110781,110777,Unfair,-1,5,0.3051181102362205
3,11,110781,110777,Unfair,1,0,0.25609756097560976
3,11,110781,110777,Unfair,1,1,0.29065040650406504
3,11,110781,110777,Unfair,1,2,0.26422764227642276
3,11,110781,110777,Unfair,1,3,0.05894308943089431
3,11,110781,110777,Unfair,1,4,0.054878048780487805
3,11,110781,110777,Unfair,1,5,0.07520325203252033
3,11,110781,110777,Exact fair,-1,0,0.15551181102362205
3,11,110781,110777,Exact fair,-1,1,0.1594488188976378
3,11,110781,110777,Exact fair,-1,2,0.16535433070866143
3,11,110781,110777,Exact fair,-1,3,0.18110236220472442
3,11,110781,110777,Exact fair,-1,4,0.13582677165354332
3,11,110781,110777,Exact fair,-1,5,0.20275590551181102
3,11,110781,110777,Exact fair,1,0,0.18089430894308944
3,11,110781,110777,Exact fair,1,1,0.19308943089430894
3,11,110781,110777,Exact fair,1,2,0.17073170731707318
3,11,110781,110777,Exact fair,1,3,0.1483739837398374
3,11,110781,110777,Exact fair,1,4,0.14634146341463414
3,11,110781,110777,Exact fair,1,5,0.16056910569105692
3,12,120781,120777,Unfair,-1,0,0.10139165009940358
3,12,120781,120777,Unfair,-1,1,0.055666003976143144
3,12,120781,120777,Unfair,-1,2,0.055666003976143144
3,12,120781,120777,Unfair,-1,3,0.27435387673956263
3,12,120781,120777,Unfair,-1,4,0.2783300198807157
3,12,120781,120777,Unfair,-1,5,0.2345924453280318
3,12,120781,120777,Unfair,1,0,0.30181086519114686
3,12,120781,120777,Unfair,1,1,0.23943661971830985
3,12,120781,120777,Unfair,1,2,0.22535211267605634
3,12,120781,120777,Unfair,1,3,0.0744466800804829
3,12,120781,120777,Unfair,1,4,0.07847082494969819
3,12,120781,120777,Unfair,1,5,0.08048289738430583
3,12,120781,120777,Exact fair,-1,0,0.1908548707753479
3,12,120781,120777,Exact fair,-1,1,0.14512922465208747
3,12,120781,120777,Exact fair,-1,2,0.1312127236580517
3,12,120781,120777,Exact fair,-1,3,0.20278330019880716
3,12,120781,120777,Exact fair,-1,4,0.18687872763419483
3,12,120781,120777,Exact fair,-1,5,0.14314115308151093
3,12,120781,120777,Exact fair,1,0,0.17706237424547283
3,12,120781,120777,Exact fair,1,1,0.14084507042253522
3,12,120781,120777,Exact fair,1,2,0.13682092555331993
3,12,120781,120777,Exact fair,1,3,0.1710261569416499
3,12,120781,120777,Exact fair,1,4,0.14688128772635814
3,12,120781,120777,Exact fair,1,5,0.22736418511066397
3,13,130781,130777,Unfair,-1,0,0.0815450643776824
3,13,130781,130777,Unfair,-1,1,0.08798283261802575
3,13,130781,130777,Unfair,-1,2,0.07081545064377683
3,13,130781,130777,Unfair,-1,3,0.2875536480686695
3,13,130781,130777,Unfair,-1,4,0.22532188841201717
3,13,130781,130777,Unfair,-1,5,0.24678111587982832
3,13,130781,130777,Unfair,1,0,0.250936329588015
3,13,130781,130777,Unfair,1,1,0.24531835205992508
3,13,130781,130777,Unfair,1,2,0.2397003745318352
3,13,130781,130777,Unfair,1,3,0.09925093632958802
3,13,130781,130777,Unfair,1,4,0.08426966292134831
3,13,130781,130777,Unfair,1,5,0.08052434456928839
3,13,130781,130777,Exact fair,-1,0,0.19527896995708155
3,13,130781,130777,Exact fair,-1,1,0.19957081545064378
3,13,130781,130777,Exact fair,-1,2,0.11587982832618025
3,13,130781,130777,Exact fair,-1,3,0.20815450643776823
3,13,130781,130777,Exact fair,-1,4,0.1351931330472103
3,13,130781,130777,Exact fair,-1,5,0.1459227467811159
3,13,130781,130777,Exact fair,1,0,0.1404494382022472
3,13,130781,130777,Exact fair,1,1,0.1441947565543071
3,13,130781,130777,Exact fair,1,2,0.15917602996254682
3,13,130781,130777,Exact fair,1,3,0.20411985018726592
3,13,130781,130777,Exact fair,1,4,0.20599250936329588
3,13,130781,130777,Exact fair,1,5,0.14606741573033707
3,14,140781,140777,Unfair,-1,0,0.07056451612903226
3,14,140781,140777,Unfair,-1,1,0.04233870967741935
3,14,140781,140777,Unfair,-1,2,0.10080645161290322
3,14,140781,140777,Unfair,-1,3,0.2862903225806452
3,14,140781,140777,Unfair,-1,4,0.25806451612903225
3,14,140781,140777,Unfair,-1,5,0.24193548387096775
3,14,140781,140777,Unfair,1,0,0.2896825396825397
3,14,140781,140777,Unfair,1,1,0.2361111111111111
3,14,140781,140777,Unfair,1,2,0.25396825396825395
3,14,140781,140777,Unfair,1,3,0.08134920634920635
3,14,140781,140777,Unfair,1,4,0.08134920634920635
3,14,140781,140777,Unfair,1,5,0.057539682539682536
3,14,140781,140777,Exact fair,-1,0,0.15120967741935484
3,14,140781,140777,Exact fair,-1,1,0.125
3,14,140781,140777,Exact fair,-1,2,0.16532258064516128
3,14,140781,140777,Exact fair,-1,3,0.2056451612903226
3,14,140781,140777,Exact fair,-1,4,0.18346774193548387
3,14,140781,140777,Exact fair,-1,5,0.1693548387096774
3,14,140781,140777,Exact fair,1,0,0.17063492063492064
3,14,140781,140777,Exact fair,1,1,0.15079365079365079
3,14,140781,140777,Exact fair,1,2,0.18055555555555555
3,14,140781,140777,Exact fair,1,3,0.19246031746031747
3,14,140781,140777,Exact fair,1,4,0.1746031746031746
3,14,140781,140777,Exact fair,1,5,0.13095238095238096
3,15,150781,150777,Unfair,-1,0,0.055776892430278883
3,15,150781,150777,Unfair,-1,1,0.06573705179282868
3,15,150781,150777,Unfair,-1,2,0.08167330677290836
3,15,150781,150777,Unfair,-1,3,0.2948207171314741
3,15,150781,150777,Unfair,-1,4,0.22111553784860558
3,15,150781,150777,Unfair,-1,5,0.28087649402390436
3,15,150781,150777,Unfair,1,0,0.26706827309236947
3,15,150781,150777,Unfair,1,1,0.25100401606425704
3,15,150781,150777,Unfair,1,2,0.27710843373493976
3,15,150781,150777,Unfair,1,3,0.07429718875502007
3,15,150781,150777,Unfair,1,4,0.0783132530120482
3,15,150781,150777,Unfair,1,5,0.05220883534136546
3,15,150781,150777,Exact fair,-1,0,0.15737051792828685
3,15,150781,150777,Exact fair,-1,1,0.1593625498007968
3,15,150781,150777,Exact fair,-1,2,0.12151394422310757
3,15,150781,150777,Exact fair,-1,3,0.21713147410358566
3,15,150781,150777,Exact fair,-1,4,0.16334661354581673
3,15,150781,150777,Exact fair,-1,5,0.18127490039840638
3,15,150781,150777,Exact fair,1,0,0.13453815261044177
3,15,150781,150777,Exact fair,1,1,0.11244979919678715
3,15,150781,150777,Exact fair,1,2,0.20080321285140562
3,15,150781,150777,Exact fair,1,3,0.21084337349397592
3,15,150781,150777,Exact fair,1,4,0.142570281124498
3,15,150781,150777,Exact fair,1,5,0.19879518072289157
3,16,160781,160777,Unfair,-1,0,0.07584830339321358
3,16,160781,160777,Unfair,-1,1,0.07385229540918163
3,16,160781,160777,Unfair,-1,2,0.08183632734530938
3,16,160781,160777,Unfair,-1,3,0.25748502994011974
3,16,160781,160777,Unfair,-1,4,0.25948103792415167
3,16,160781,160777,Unfair,-1,5,0.25149700598802394
3,16,160781,160777,Unfair,1,0,0.27054108216432865
3,16,160781,160777,Unfair,1,1,0.26452905811623245
3,16,160781,160777,Unfair,1,2,0.24849699398797595
3,16,160781,160777,Unfair,1,3,0.0841683366733467
3,16,160781,160777,Unfair,1,4,0.06212424849699399
3,16,160781,160777,Unfair,1,5,0.07014028056112225
3,16,160781,160777,Exact fair,-1,0,0.12974051896207583
3,16,160781,160777,Exact fair,-1,1,0.14770459081836326
3,16,160781,160777,Exact fair,-1,2,0.19560878243512975
3,16,160781,160777,Exact fair,-1,3,0.16367265469061876
3,16,160781,160777,Exact fair,-1,4,0.18163672654690619
3,16,160781,160777,Exact fair,-1,5,0.18163672654690619
3,16,160781,160777,Exact fair,1,0,0.15831663326653306
3,16,160781,160777,Exact fair,1,1,0.17034068136272545
3,16,160781,160777,Exact fair,1,2,0.18236472945891782
3,16,160781,160777,Exact fair,1,3,0.18637274549098196
3,16,160781,160777,Exact fair,1,4,0.13226452905811623
3,16,160781,160777,Exact fair,1,5,0.17034068136272545
3,17,170781,170777,Unfair,-1,0,0.08519269776876268
3,17,170781,170777,Unfair,-1,1,0.058823529411764705
3,17,170781,170777,Unfair,-1,2,0.0973630831643002
3,17,170781,170777,Unfair,-1,3,0.2920892494929006
3,17,170781,170777,Unfair,-1,4,0.24543610547667344
3,17,170781,170777,Unfair,-1,5,0.2210953346855984
3,17,170781,170777,Unfair,1,0,0.26627218934911245
3,17,170781,170777,Unfair,1,1,0.2504930966469428
3,17,170781,170777,Unfair,1,2,0.2781065088757396
3,17,170781,170777,Unfair,1,3,0.0670611439842209
3,17,170781,170777,Unfair,1,4,0.06903353057199212
3,17,170781,170777,Unfair,1,5,0.06903353057199212
3,17,170781,170777,Exact fair,-1,0,0.2028397565922921
3,17,170781,170777,Exact fair,-1,1,0.14807302231237324
3,17,170781,170777,Exact fair,-1,2,0.20486815415821502
3,17,170781,170777,Exact fair,-1,3,0.18052738336713997
3,17,170781,170777,Exact fair,-1,4,0.12778904665314403
3,17,170781,170777,Exact fair,-1,5,0.1359026369168357
3,17,170781,170777,Exact fair,1,0,0.17159763313609466
3,17,170781,170777,Exact fair,1,1,0.14398422090729784
3,17,170781,170777,Exact fair,1,2,0.1893491124260355
3,17,170781,170777,Exact fair,1,3,0.1814595660749507
3,17,170781,170777,Exact fair,1,4,0.16962524654832348
3,17,170781,170777,Exact fair,1,5,0.14398422090729784
3,18,180781,180777,Unfair,-1,0,0.09919028340080972
3,18,180781,180777,Unfair,-1,1,0.06882591093117409
3,18,180781,180777,Unfair,-1,2,0.05668016194331984
3,18,180781,180777,Unfair,-1,3,0.25708502024291496
3,18,180781,180777,Unfair,-1,4,0.26720647773279355
3,18,180781,180777,Unfair,-1,5,0.25101214574898784
3,18,180781,180777,Unfair,1,0,0.29051383399209485
3,18,180781,180777,Unfair,1,1,0.23517786561264822
3,18,180781,180777,Unfair,1,2,0.2608695652173913
3,18,180781,180777,Unfair,1,3,0.07312252964426877
3,18,180781,180777,Unfair,1,4,0.08300395256916997
3,18,180781,180777,Unfair,1,5,0.05731225296442688
3,18,180781,180777,Exact fair,-1,0,0.20647773279352227
3,18,180781,180777,Exact fair,-1,1,0.13360323886639677
3,18,180781,180777,Exact fair,-1,2,0.15384615384615385
3,18,180781,180777,Exact fair,-1,3,0.1417004048582996
3,18,180781,180777,Exact fair,-1,4,0.1882591093117409
3,18,180781,180777,Exact fair,-1,5,0.17611336032388664
3,18,180781,180777,Exact fair,1,0,0.17984189723320157
3,18,180781,180777,Exact fair,1,1,0.13043478260869565
3,18,180781,180777,Exact fair,1,2,0.14624505928853754
3,18,180781,180777,Exact fair,1,3,0.16205533596837945
3,18,180781,180777,Exact fair,1,4,0.17786561264822134
3,18,180781,180777,Exact fair,1,5,0.20355731225296442
3,19,190781,190777,Unfair,-1,0,0.0784313725490196
3,19,190781,190777,Unfair,-1,1,0.060784313725490195
3,19,190781,190777,Unfair,-1,2,0.07647058823529412
3,19,190781,190777,Unfair,-1,3,0.2823529411764706
3,19,190781,190777,Unfair,-1,4,0.2803921568627451
3,19,190781,190777,Unfair,-1,5,0.22156862745098038
3,19,190781,190777,Unfair,1,0,0.24285714285714285
3,19,190781,190777,Unfair,1,1,0.2836734693877551
3,19,190781,190777,Unfair,1,2,0.27755102040816326
3,19,190781,190777,Unfair,1,3,0.07755102040816327
3,19,190781,190777,Unfair,1,4,0.0653061224489796
3,19,190781,190777,Unfair,1,5,0.053061224489795916
3,19,190781,190777,Exact fair,-1,0,0.19411764705882353
3,19,190781,190777,Exact fair,-1,1,0.16470588235294117
3,19,190781,190777,Exact fair,-1,2,0.14705882352941177
3,19,190781,190777,Exact fair,-1,3,0.19019607843137254
3,19,190781,190777,Exact fair,-1,4,0.17058823529411765
3,19,190781,190777,Exact fair,-1,5,0.13333333333333333
3,19,190781,190777,Exact fair,1,0,0.16938775510204082
3,19,190781,190777,Exact fair,1,1,0.18775510204081633
3,19,190781,190777,Exact fair,1,2,0.1673469387755102
3,19,190781,190777,Exact fair,1,3,0.15510204081632653
3,19,190781,190777,Exact fair,1,4,0.15510204081632653
3,19,190781,190777,Exact fair,1,5,0.1653061224489796
3,20,200781,200777,Unfair,-1,0,0.07615230460921844
3,20,200781,200777,Unfair,-1,1,0.08617234468937876
3,20,200781,200777,Unfair,-1,2,0.0781563126252505
3,20,200781,200777,Unfair,-1,3,0.26452905811623245
3,20,200781,200777,Unfair,-1,4,0.24849699398797595
3,20,200781,200777,Unfair,-1,5,0.24649298597194388
3,20,200781,200777,Unfair,1,0,0.25748502994011974
