Figure,Panel,Size,Method,Epsilon,ExcessRiskMean,ExcessRiskStd,UnfairnessDifferenceMean,UnfairnessDifferenceStd,Repetitions
10,PoolSize,180,Our Eps-Fair,0.05,0.04450833333333333,0.0346728232127156,0.04872144309141904,0.03361967263953083,30
10,PoolSize,180,Our Eps-Fair,0.1,0.06984166666666666,0.026385935658503994,0.04752929497252891,0.027645283527717276,30
10,PoolSize,180,Our Eps-Fair,0.15,0.10685833333333335,0.01576807711000699,0.017165613386146125,0.01438216793315712,30
10,PoolSize,200,Our Eps-Fair,0.0,0.03835,0.04309105235548846,0.06072057414090584,0.03820480180578246,30
10,PoolSize,200,Our Eps-Fair,0.05,0.04345833333333333,0.0323808880501993,0.049801002254251395,0.030210227357025495,30
10,PoolSize,200,Our Eps-Fair,0.1,0.06896666666666666,0.027075702727000817,0.04762683558547818,0.02890292779648359,30
10,PoolSize,200,Our Eps-Fair,0.15,0.10685000000000001,0.018055183609490474,0.01527971962887578,0.015698299900542834,30
10,PoolSize,220,Our Eps-Fair,0.0,0.04177500000000001,0.04326384321012576,0.056714226143042334,0.044399837229010225,30
10,PoolSize,220,Our Eps-Fair,0.05,0.045799999999999993,0.03272971864771557,0.04557469237220035,0.03162851403423451,30
10,PoolSize,220,Our Eps-Fair,0.1,0.07125833333333335,0.02661090029232037,0.04427334125272385,0.02897878300655508,30
10,PoolSize,220,Our Eps-Fair,0.15,0.107125,0.016985509798161737,0.01448681834907343,0.01550441527609642,30
10,PoolSize,240,Our Eps-Fair,0.0,0.04056666666666667,0.041559052985570694,0.053453961949447834,0.03286079728983125,30
10,PoolSize,240,Our Eps-Fair,0.05,0.044733333333333326,0.03185757186380455,0.04193408630447952,0.03247432279146451,30
10,PoolSize,240,Our Eps-Fair,0.1,0.07018333333333333,0.023869791662747893,0.04016035521197893,0.029111292342513154,30
10,PoolSize,240,Our Eps-Fair,0.15,0.10685000000000001,0.01620006917822609,0.014503135048689357,0.017079614634087935,30
10,PoolSize,260,Our Eps-Fair,0.0,0.036325,0.03782384020602661,0.04979804345951758,0.03386793628382353,30
10,PoolSize,260,Our Eps-Fair,0.05,0.039408333333333344,0.029850885400527116,0.042862934500634345,0.030225154747832772,30
10,PoolSize,260,Our Eps-Fair,0.1,0.06839166666666667,0.02443752443629905,0.03989245554838291,0.029668589044004275,30
10,PoolSize,260,Our Eps-Fair,0.15,0.10593333333333334,0.016338674941701204,0.01344123883658484,0.018464981912485225,30
10,PoolSize,280,Our Eps-Fair,0.0,0.038500000000000006,0.03685496972056073,0.04797431384861552,0.0357631495267978,30
10,PoolSize,280,Our Eps-Fair,0.05,0.03967500000000001,0.0294108933314125,0.042069421523084634,0.028798226800283763,30
10,PoolSize,280,Our Eps-Fair,0.1,0.06644166666666668,0.0225813360655597,0.03606152579751563,0.027556134190671867,30
10,PoolSize,280,Our Eps-Fair,0.15,0.10309166666666668,0.015325981339639846,0.013359176900286743,0.0172836498364457,30
10,PoolSize,300,Our Eps-Fair,0.0,0.034100000000000005,0.03733518955771278,0.04539577605540656,0.03399919152797777,30
10,PoolSize,300,Our Eps-Fair,0.05,0.03805833333333333,0.02824429171297832,0.03942987264812121,0.027590065251196737,30
10,PoolSize,300,Our Eps-Fair,0.1,0.06544166666666666,0.023436789835984195,0.03280387889993044,0.025752647230354003,30
10,PoolSize,300,Our Eps-Fair,0.15,0.10381666666666668,0.01674773959700818,0.013985390962267745,0.01693229506496122,30
10,TrainingSize,100,Our Eps-Fair,0.0,0.203325,0.034073965564787805,-0.007396766010083737,0.016635833388525752,30
10,TrainingSize,100,Our Eps-Fair,0.05,0.24115,0.033053939720319,0.0059656038999769175,0.011726247650259326,30
10,TrainingSize,100,Our Eps-Fair,0.1,0.2953,0.03583056391329653,0.0006272323658805312,0.013017098491429163,30
10,TrainingSize,100,Our Eps-Fair,0.15,0.3562,0.03545008632838085,-0.007816167320946466,0.014635712258029326,30
10,TrainingSize,100,Unfair,,0.3683166666666667,0.035184730066963106,0.019039416345244267,0.04684830369176487,30
10,TrainingSize,200,Our Eps-Fair,0.0,0.13025,0.023823615493296025,-0.00906029785644254,0.012876363731437662,30
10,TrainingSize,200,Our Eps-Fair,0.05,0.159375,0.028665261175783188,0.0015909869782748554,0.012063756915895358,30
10,TrainingSize,200,Our Eps-Fair,0.1,0.20353333333333332,0.029930575801612843,0.0031251900537924535,0.010743844432307975,30
10,TrainingSize,200,Our Eps-Fair,0.15,0.2574,0.029886682537602734,-0.00555589558632368,0.011886048105092625,30
10,TrainingSize,200,Unfair,,0.26855,0.02865801627035137,0.014561989503279431,0.023780851925455277,30
10,TrainingSize,300,Our Eps-Fair,0.0,0.09955,0.020400346514974542,-0.008307410282735525,0.016229050213981664,30
10,TrainingSize,300,Our Eps-Fair,0.05,0.12585,0.02418130155362996,0.003282741563633032,0.011281666009539042,30
10,TrainingSize,300,Our Eps-Fair,0.1,0.16588333333333335,0.024568494450011177,0.004996367647761644,0.01204287912480875,30
10,TrainingSize,300,Our Eps-Fair,0.15,0.21544166666666667,0.024744703659478364,-0.004903195858791234,0.014487913321403874,30
10,TrainingSize,300,Unfair,,0.22624999999999998,0.023613354637606644,0.007940665216359876,0.02343711490254097,30
10,TrainingSize,400,Our Eps-Fair,0.0,0.08056666666666668,0.017288616612320836,-0.004828293621053016,0.01573250248982503,30
10,TrainingSize,400,Our Eps-Fair,0.05,0.10105833333333333,0.022483392657744045,0.004183815075579466,0.011249520485104093,30
10,TrainingSize,400,Our Eps-Fair,0.1,0.13800833333333334,0.02169721928525967,0.0016354534463356607,0.011227476758006009,30
10,TrainingSize,400,Our Eps-Fair,0.15,0.1844666666666667,0.01958972871849858,-0.005700948312301197,0.012513448978070335,30
10,TrainingSize,400,Unfair,,0.195275,0.018949496171993974,0.00891395357538685,0.022264425872957058,30
10,TrainingSize,500,Our Eps-Fair,0.0,0.06989166666666667,0.014673263765782641,-0.003818253062664175,0.015807574192461874,30
10,TrainingSize,500,Our Eps-Fair,0.05,0.08805833333333334,0.02104886385390503,0.004847939902588331,0.01245425018653241,30
10,TrainingSize,500,Our Eps-Fair,0.1,0.12370833333333334,0.020197738364912832,0.00565675211593375,0.010981631264566003,30
10,TrainingSize,500,Our Eps-Fair,0.15,0.16769166666666668,0.01906473583081734,-0.002462013416581338,0.012281049890986356,30
10,TrainingSize,500,Unfair,,0.1776083333333333,0.01806509820035601,0.009618439788123424,0.019245574982768795,30
10,TrainingSize,600,Our Eps-Fair,0.0,0.060866666666666666,0.01574003972595726,-0.00416388308991154,0.014913723785695837,30
10,TrainingSize,600,Our Eps-Fair,0.05,0.07897499999999999,0.01919886288838214,0.004318184625466281,0.011639363081142965,30
10,TrainingSize,600,Our Eps-Fair,0.1,0.11248333333333334,0.018919285605331185,0.003792897436563861,0.012105475618404235,30
10,TrainingSize,600,Our Eps-Fair,0.15,0.15546666666666667,0.01809550017094807,-0.0018980817054120894,0.010049851627398272,30
10,TrainingSize,600,Unfair,,0.16476666666666664,0.017001259250183608,0.007505632929555726,0.018100092911324278,30
10,TrainingSize,700,Our Eps-Fair,0.0,0.05396666666666668,0.015559498337213417,-0.00555609524579757,0.018176987650079454,30
10,TrainingSize,700,Our Eps-Fair,0.05,0.06945,0.018283141848765172,0.004141548523201713,0.01325650848862211,30
10,TrainingSize,700,Our Eps-Fair,0.1,0.10245833333333335,0.017879756822255413,0.006219557692679051,0.010510039338380605,30
10,TrainingSize,700,Our Eps-Fair,0.15,0.14420833333333333,0.016670757400275803,-0.0002404587107894457,0.010641687223246647,30
10,TrainingSize,700,Unfair,,0.15389999999999998,0.015030084772743708,0.008851731546948408,0.01914816165715993,30
10,TrainingSize,800,Our Eps-Fair,0.0,0.048591666666666665,0.014849312554234065,-0.005353991836345569,0.01744677457946877,30
10,TrainingSize,800,Our Eps-Fair,0.05,0.062433333333333334,0.01842972829581249,0.003367778773238163,0.012423024292037595,30
10,TrainingSize,800,Our Eps-Fair,0.1,0.09378333333333334,0.018595018490006363,0.004227222516747183,0.012025392157195777,30
10,TrainingSize,800,Our Eps-Fair,0.15,0.13429166666666667,0.01600741791048512,0.0005169603802924721,0.009862932928902803,30
10,TrainingSize,800,Unfair,,0.14407499999999998,0.015665709037741386,0.008814513549914986,0.019422309335537125,30
10,TrainingSize,900,Our Eps-Fair,0.0,0.045608333333333334,0.015958956426718036,-0.006934118330915079,0.018692482426494135,30
10,TrainingSize,900,Our Eps-Fair,0.05,0.05656666666666668,0.016049617748876685,0.004059507134932766,0.011218532552167723,30
10,TrainingSize,900,Our Eps-Fair,0.1,0.08755833333333335,0.017098810622749285,0.004604127747137116,0.010110166619475804,30
10,TrainingSize,900,Our Eps-Fair,0.15,0.126925,0.014861160615092822,0.0008698525602027237,0.010714131589886674,30
10,TrainingSize,900,Unfair,,0.13574999999999998,0.013414480081690421,0.007172904840450015,0.014940498190766366,30
10,TrainingSize,1000,Our Eps-Fair,0.0,0.0422,0.015979566693879326,-0.005224497047370365,0.018283618864424936,30
10,TrainingSize,1000,Our Eps-Fair,0.05,0.053941666666666666,0.016210453647916942,0.003534016425085203,0.012690895791542435,30
10,TrainingSize,1000,Our Eps-Fair,0.1,0.08405000000000001,0.016035171472046417,0.003604464123221075,0.010591202014833974,30
10,TrainingSize,1000,Our Eps-Fair,0.15,0.12180833333333334,0.01468603654973764,-0.00011210413065346943,0.010301472935520247,30
10,TrainingSize,1000,Unfair,,0.13098333333333334,0.013501106808609114,0.006792891747453499,0.015339820055980837,30
10,TrainingSize,1100,Our Eps-Fair,0.0,0.03763333333333332,0.014634591363198895,-0.006550209068991035,0.016725393442615054,30
10,TrainingSize,1100,Our Eps-Fair,0.05,0.049866666666666656,0.016490035305232555,0.005034768388031028,0.01114990880987351,30
10,TrainingSize,1100,Our Eps-Fair,0.1,0.07896666666666666,0.016359739972078506,0.0022221458580945516,0.01003569851340079,30
10,TrainingSize,1100,Our Eps-Fair,0.15,0.11661666666666666,0.015557836108142292,-0.0008590810270044963,0.009443901453816218,30
10,TrainingSize,1100,Unfair,,0.12459166666666667,0.014071474467096935,0.008834213330090279,0.0144844411503063,30
10,TrainingSize,1200,Our Eps-Fair,0.0,0.03785,0.01621602549204399,-0.005153023643745266,0.018433360779521887,30
10,TrainingSize,1200,Our Eps-Fair,0.05,0.04654166666666667,0.01794124550386301,0.004479079898483853,0.013118605600435387,30
10,TrainingSize,1200,Our Eps-Fair,0.1,0.07453333333333334,0.01654509685329939,0.0040686671084391455,0.010390656063024957,30
10,TrainingSize,1200,Our Eps-Fair,0.15,0.11114166666666668,0.014839323825875477,0.0009538403916509073,0.009845681282324836,30
10,TrainingSize,1200,Unfair,,0.11973333333333333,0.014410384984527609,0.009946274825795172,0.013124851216177283,30
10,TrainingSize,1300,Our Eps-Fair,0.0,0.034624999999999996,0.017529746885282416,-0.005146259132368073,0.018237140880772478,30
10,TrainingSize,1300,Our Eps-Fair,0.05,0.043425,0.018125656944099223,0.004345969888235492,0.013244017504289435,30
10,TrainingSize,1300,Our Eps-Fair,0.1,0.07062500000000001,0.017086588560057556,0.004874445620402699,0.011571898094060723,30
10,TrainingSize,1300,Our Eps-Fair,0.15,0.10795,0.015229904792873786,0.00032965302690108147,0.010079665312170302,30
10,TrainingSize,1300,Unfair,,0.11565,0.013387558557777852,0.007803270349460647,0.013341553774929498,30
10,TrainingSize,1400,Our Eps-Fair,0.0,0.033591666666666686,0.015875388039424378,-0.005009788268344342,0.017642150222729917,30
10,TrainingSize,1400,Our Eps-Fair,0.05,0.04217499999999999,0.016895488838842388,0.005126210577364175,0.014370750610869284,30
10,TrainingSize,1400,Our Eps-Fair,0.1,0.06872499999999998,0.015893008384734515,0.004276725974508548,0.011067982376353822,30
10,TrainingSize,1400,Our Eps-Fair,0.15,0.10516666666666667,0.014798697131221023,0.0016185807092874835,0.010711274677198509,30
10,TrainingSize,1400,Unfair,,0.11310833333333334,0.013627697982375845,0.007170022167483381,0.01287978557806759,30
10,TrainingSize,1500,Our Eps-Fair,0.0,0.03400833333333333,0.015276119990168407,-0.004001314430934469,0.018324669184741488,30
10,TrainingSize,1500,Our Eps-Fair,0.05,0.041258333333333334,0.018291754706147932,0.004902608980696007,0.013998116977581741,30
10,TrainingSize,1500,Our Eps-Fair,0.1,0.06718333333333334,0.016098288264827152,0.004320261502977831,0.012058163500889684,30
10,TrainingSize,1500,Our Eps-Fair,0.15,0.10351666666666667,0.01447187124981646,0.002098449950010455,0.010919251293039806,30
10,TrainingSize,1500,Unfair,,0.11030833333333333,0.012412744308345668,0.008152661854497931,0.012377343473843975,30
10,TrainingSize,1600,Our Eps-Fair,0.0,0.032499999999999994,0.016260937963361016,-0.007351009898737731,0.01586876339885644,30
10,TrainingSize,1600,Our Eps-Fair,0.05,0.038924999999999994,0.016917032581966324,0.0032442670771180198,0.014816961912403724,30
10,TrainingSize,1600,Our Eps-Fair,0.1,0.06369166666666667,0.015983380826460915,0.0032494308931865154,0.012056498502044247,30
10,TrainingSize,1600,Our Eps-Fair,0.15,0.10026666666666667,0.013671000854649088,0.001562602386738433,0.0102295540013145,30
10,TrainingSize,1600,Unfair,,0.10740833333333333,0.012213348289342351,0.007879417996036201,0.01317798957336646,30
10,TrainingSize,1700,Our Eps-Fair,0.0,0.03060833333333334,0.016237685431148112,-0.004854442161379845,0.0168302747664422,30
10,TrainingSize,1700,Our Eps-Fair,0.05,0.038625,0.01681270429948937,0.001962901585498038,0.013834394045239161,30
10,TrainingSize,1700,Our Eps-Fair,0.1,0.06253333333333334,0.014378464100350135,0.0038266166942508917,0.011305621238955246,30
10,TrainingSize,1700,Our Eps-Fair,0.15,0.09806666666666668,0.012883418461897745,0.0011636860690593305,0.010273583642925577,30
10,TrainingSize,1700,Unfair,,0.10465833333333334,0.011409970559160952,0.008386329586905716,0.013513858226352806,30
10,TrainingSize,1800,Our Eps-Fair,0.0,0.030166666666666665,0.017308849308022067,-0.004681144843998103,0.016143904928511223,30
10,TrainingSize,1800,Our Eps-Fair,0.05,0.03776666666666665,0.016294823238311478,0.002537995454385793,0.014978217783979819,30
10,TrainingSize,1800,Our Eps-Fair,0.1,0.06085833333333334,0.015122585776735165,0.005341744960783292,0.012383952039671004,30
10,TrainingSize,1800,Our Eps-Fair,0.15,0.09519166666666666,0.012584829971131856,0.00044446650074137693,0.010071464603788252,30
10,TrainingSize,1800,Unfair,,0.10122499999999998,0.01153131979466777,0.008323863321048418,0.01170416240219314,30
10,TrainingSize,1900,Our Eps-Fair,0.0,0.029116666666666662,0.01611672580193362,-0.005718028452343799,0.018409594383842952,30
10,TrainingSize,1900,Our Eps-Fair,0.05,0.034325,0.016333162531361214,0.004415085125315686,0.012872339060468713,30
10,TrainingSize,1900,Our Eps-Fair,0.1,0.05713333333333335,0.01585871528764903,0.004388260749960698,0.012636396399800822,30
10,TrainingSize,1900,Our Eps-Fair,0.15,0.09168333333333335,0.012309222315929966,0.0027899421961190716,0.008746349728671174,30
10,TrainingSize,1900,Unfair,,0.09826666666666667,0.010579936553272159,0.008950793561135621,0.012609653763144449,30
10,TrainingSize,2000,Our Eps-Fair,0.0,0.027000000000000003,0.014482450735643648,-0.005692431398153119,0.016382127370496997,30
10,TrainingSize,2000,Our Eps-Fair,0.05,0.03226666666666667,0.015498322119047166,0.004241735912163151,0.012856457640520997,30
10,TrainingSize,2000,Our Eps-Fair,0.1,0.055725000000000004,0.014820964590043064,0.004739259815014894,0.010797872376608801,30
10,TrainingSize,2000,Our Eps-Fair,0.15,0.09018333333333335,0.012127187561875976,0.001669007969708177,0.008997814372867863,30
10,TrainingSize,2000,Unfair,,0.0968,0.010527345344387647,0.007450799367549434,0.01196163935625955,30
