Figure,Panel,Repetition,Seed,Size,Method,Epsilon,Accuracy,Unfairness,ReferenceAccuracy,ReferenceUnfairness,RuntimeSeconds,ExcessRisk,UnfairnessDifference
10,TrainingSize,0,1777,700,Our Eps-Fair,0.1,0.79275,0.1178815169395989,0.89625,0.09625295427594643,,0.10350000000000004,0.02162856266365247
10,TrainingSize,0,1777,700,Our Eps-Fair,0.15,0.81675,0.16488491293495958,0.96225,0.1471838840356216,,0.14550000000000007,0.017701028899337973
10,TrainingSize,0,1777,800,Unfair,,0.8365,0.1941495273033477,0.9785,0.1625154917442785,,0.14200000000000002,0.031634035559069185
10,TrainingSize,0,1777,800,Our Eps-Fair,0.0,0.7115,0.0237302145079982,0.74525,0.018746854460234746,,0.03374999999999995,0.004983360047763452
10,TrainingSize,0,1777,800,Our Eps-Fair,0.05,0.7655,0.0722804722641211,0.817,0.04473173186762744,,0.05149999999999999,0.02754874039649366
10,TrainingSize,0,1777,800,Our Eps-Fair,0.1,0.8075,0.11526657801026123,0.89625,0.09625295427594643,,0.08875,0.019013623734314797
10,TrainingSize,0,1777,800,Our Eps-Fair,0.15,0.8335,0.16229547584813003,0.96225,0.1471838840356216,,0.12875000000000003,0.01511159181250843
10,TrainingSize,0,1777,900,Unfair,,0.83925,0.1767205180574296,0.9785,0.1625154917442785,,0.13924999999999998,0.014205026313151098
10,TrainingSize,0,1777,900,Our Eps-Fair,0.0,0.7125,0.029773151110167706,0.74525,0.018746854460234746,,0.032749999999999946,0.01102629664993296
10,TrainingSize,0,1777,900,Our Eps-Fair,0.05,0.766,0.0657247486130873,0.817,0.04473173186762744,,0.050999999999999934,0.020993016745459864
10,TrainingSize,0,1777,900,Our Eps-Fair,0.1,0.80775,0.11121528530436324,0.89625,0.09625295427594643,,0.08850000000000002,0.014962331028416806
10,TrainingSize,0,1777,900,Our Eps-Fair,0.15,0.836,0.163791333923876,0.96225,0.1471838840356216,,0.12625000000000008,0.016607449888254383
10,TrainingSize,0,1777,1000,Unfair,,0.84,0.1931919581189741,0.9785,0.1625154917442785,,0.13850000000000007,0.030676466374695593
10,TrainingSize,0,1777,1000,Our Eps-Fair,0.0,0.7115,0.026593421374694337,0.74525,0.018746854460234746,,0.03374999999999995,0.00784656691445959
10,TrainingSize,0,1777,1000,Our Eps-Fair,0.05,0.7635,0.0731870377634784,0.817,0.04473173186762744,,0.05349999999999999,0.028455305895850963
10,TrainingSize,0,1777,1000,Our Eps-Fair,0.1,0.8105,0.11619014473795732,0.89625,0.09625295427594643,,0.08574999999999999,0.01993719046201088
10,TrainingSize,0,1777,1000,Our Eps-Fair,0.15,0.838,0.16581698027682498,0.96225,0.1471838840356216,,0.12425000000000008,0.01863309624120338
10,TrainingSize,0,1777,1100,Unfair,,0.84525,0.20515032211077253,0.9785,0.1625154917442785,,0.1332500000000001,0.042634830366494014
10,TrainingSize,0,1777,1100,Our Eps-Fair,0.0,0.71075,0.01720849331364191,0.74525,0.018746854460234746,,0.034499999999999975,-0.001538361146592837
10,TrainingSize,0,1777,1100,Our Eps-Fair,0.05,0.763,0.06074613890853614,0.817,0.04473173186762744,,0.05399999999999994,0.0160144070409087
10,TrainingSize,0,1777,1100,Our Eps-Fair,0.1,0.8125,0.10571538793677843,0.89625,0.09625295427594643,,0.08374999999999999,0.009462433660831993
10,TrainingSize,0,1777,1100,Our Eps-Fair,0.15,0.844,0.1607826165440453,0.96225,0.1471838840356216,,0.11825000000000008,0.013598732508423694
10,TrainingSize,0,1777,1200,Unfair,,0.854,0.19760302681868766,0.9785,0.1625154917442785,,0.12450000000000006,0.03508753507440915
10,TrainingSize,0,1777,1200,Our Eps-Fair,0.0,0.71325,0.018241567953284604,0.74525,0.018746854460234746,,0.03199999999999992,-0.0005052865069501422
10,TrainingSize,0,1777,1200,Our Eps-Fair,0.05,0.77,0.05130920709021228,0.817,0.04473173186762744,,0.04699999999999993,0.006577475222584839
10,TrainingSize,0,1777,1200,Our Eps-Fair,0.1,0.81475,0.10730475276838752,0.89625,0.09625295427594643,,0.08150000000000002,0.01105179849244109
10,TrainingSize,0,1777,1200,Our Eps-Fair,0.15,0.8455,0.16880019581414757,0.96225,0.1471838840356216,,0.11675000000000002,0.021616311778525965
10,TrainingSize,0,1777,1300,Unfair,,0.8565,0.20309917391531535,0.9785,0.1625154917442785,,0.122,0.04058368217103683
10,TrainingSize,0,1777,1300,Our Eps-Fair,0.0,0.719,0.02525057435399708,0.74525,0.018746854460234746,,0.026249999999999996,0.006503719893762333
10,TrainingSize,0,1777,1300,Our Eps-Fair,0.05,0.772,0.05627931618059406,0.817,0.04473173186762744,,0.04499999999999993,0.011547584312966624
10,TrainingSize,0,1777,1300,Our Eps-Fair,0.1,0.81675,0.10775328517485389,0.89625,0.09625295427594643,,0.07950000000000002,0.011500330898907452
10,TrainingSize,0,1777,1300,Our Eps-Fair,0.15,0.85225,0.16114714288107312,0.96225,0.1471838840356216,,0.1100000000000001,0.01396325884545152
10,TrainingSize,0,1777,1400,Unfair,,0.86225,0.19510709648772123,0.9785,0.1625154917442785,,0.11625000000000008,0.03259160474344272
10,TrainingSize,0,1777,1400,Our Eps-Fair,0.0,0.721,0.016822215405063012,0.74525,0.018746854460234746,,0.024249999999999994,-0.001924639055171734
10,TrainingSize,0,1777,1400,Our Eps-Fair,0.05,0.776,0.06324581951045963,0.817,0.04473173186762744,,0.040999999999999925,0.01851408764283219
10,TrainingSize,0,1777,1400,Our Eps-Fair,0.1,0.82425,0.1047445677950232,0.89625,0.09625295427594643,,0.07199999999999995,0.008491613519076763
10,TrainingSize,0,1777,1400,Our Eps-Fair,0.15,0.85325,0.1637573314671985,0.96225,0.1471838840356216,,0.1090000000000001,0.016573447431576904
10,TrainingSize,0,1777,1500,Unfair,,0.85925,0.19415802791751702,0.9785,0.1625154917442785,,0.11925000000000008,0.031642536173238506
10,TrainingSize,0,1777,1500,Our Eps-Fair,0.0,0.71475,0.03272986473272693,0.74525,0.018746854460234746,,0.03049999999999997,0.013983010272492186
10,TrainingSize,0,1777,1500,Our Eps-Fair,0.05,0.7785,0.058287961305204306,0.817,0.04473173186762744,,0.03849999999999998,0.013556229437576867
10,TrainingSize,0,1777,1500,Our Eps-Fair,0.1,0.8215,0.10975818002850705,0.89625,0.09625295427594643,,0.07474999999999998,0.01350522575256062
10,TrainingSize,0,1777,1500,Our Eps-Fair,0.15,0.85375,0.1581639273437506,0.96225,0.1471838840356216,,0.10850000000000004,0.01098004330812899
10,TrainingSize,0,1777,1600,Unfair,,0.86425,0.20156931338289188,0.9785,0.1625154917442785,,0.11425000000000007,0.03905382163861337
10,TrainingSize,0,1777,1600,Our Eps-Fair,0.0,0.72125,0.014687061140167379,0.74525,0.018746854460234746,,0.02400000000000002,-0.0040597933200673675
10,TrainingSize,0,1777,1600,Our Eps-Fair,0.05,0.78325,0.05783942889873794,0.817,0.04473173186762744,,0.03374999999999995,0.013107697031110505
10,TrainingSize,0,1777,1600,Our Eps-Fair,0.1,0.827,0.10131281985123425,0.89625,0.09625295427594643,,0.06925000000000003,0.005059865575287814
10,TrainingSize,0,1777,1600,Our Eps-Fair,0.15,0.8555,0.15874846957692693,0.96225,0.1471838840356216,,0.10675000000000001,0.011564585541305322
10,TrainingSize,0,1777,1700,Unfair,,0.86475,0.20212460350260308,0.9785,0.1625154917442785,,0.11375000000000002,0.03960911175832457
10,TrainingSize,0,1777,1700,Our Eps-Fair,0.0,0.72125,0.028165784977964653,0.74525,0.018746854460234746,,0.02400000000000002,0.009418930517729907
10,TrainingSize,0,1777,1700,Our Eps-Fair,0.05,0.77575,0.058377717790110334,0.817,0.04473173186762744,,0.0412499999999999,0.013645985922482895
10,TrainingSize,0,1777,1700,Our Eps-Fair,0.1,0.8285,0.10560487995257657,0.89625,0.09625295427594643,,0.06774999999999998,0.009351925676630138
10,TrainingSize,0,1777,1700,Our Eps-Fair,0.15,0.8585,0.15820168007138513,0.96225,0.1471838840356216,,0.10375000000000001,0.011017796035763527
10,TrainingSize,0,1777,1800,Unfair,,0.86475,0.19555187862323054,0.9785,0.1625154917442785,,0.11375000000000002,0.03303638687895202
10,TrainingSize,0,1777,1800,Our Eps-Fair,0.0,0.728,0.029712646738726867,0.74525,0.018746854460234746,,0.017249999999999988,0.01096579227849212
10,TrainingSize,0,1777,1800,Our Eps-Fair,0.05,0.78425,0.06965703272061408,0.817,0.04473173186762744,,0.032749999999999946,0.024925300852986637
10,TrainingSize,0,1777,1800,Our Eps-Fair,0.1,0.8355,0.1136942144069909,0.89625,0.09625295427594643,,0.06074999999999997,0.017441260131044467
10,TrainingSize,0,1777,1800,Our Eps-Fair,0.15,0.86025,0.15621003617511364,0.96225,0.1471838840356216,,0.10200000000000009,0.009026152139492039
10,TrainingSize,0,1777,1900,Unfair,,0.873,0.19509009525938248,0.9785,0.1625154917442785,,0.10550000000000004,0.03257460351510397
10,TrainingSize,0,1777,1900,Our Eps-Fair,0.0,0.71925,0.02278014586553878,0.74525,0.018746854460234746,,0.026000000000000023,0.004033291405304035
10,TrainingSize,0,1777,1900,Our Eps-Fair,0.05,0.78575,0.06380585997338309,0.817,0.04473173186762744,,0.03125,0.01907412810575565
10,TrainingSize,0,1777,1900,Our Eps-Fair,0.1,0.83775,0.12067771896519523,0.89625,0.09625295427594643,,0.058499999999999996,0.0244247646892488
10,TrainingSize,0,1777,1900,Our Eps-Fair,0.15,0.86325,0.1611933962228771,0.96225,0.1471838840356216,,0.09900000000000009,0.01400951218725549
10,TrainingSize,0,1777,2000,Unfair,,0.87675,0.1910388025534845,0.9785,0.1625154917442785,,0.10175000000000001,0.028523310809205976
10,TrainingSize,0,1777,2000,Our Eps-Fair,0.0,0.7285,0.03120000420030347,0.74525,0.018746854460234746,,0.01674999999999993,0.012453149740068725
10,TrainingSize,0,1777,2000,Our Eps-Fair,0.05,0.78825,0.055796781317450195,0.817,0.04473173186762744,,0.028749999999999942,0.011065049449822756
10,TrainingSize,0,1777,2000,Our Eps-Fair,0.1,0.838,0.11018971120663468,0.89625,0.09625295427594643,,0.058250000000000024,0.013936756930688243
10,TrainingSize,0,1777,2000,Our Eps-Fair,0.15,0.8675,0.1587569701910963,0.96225,0.1471838840356216,,0.09475,0.011573086155474699
10,PoolSize,0,1777,20,Our Eps-Fair,0.0,0.82875,0.21215932851148495,0.74525,0.018746854460234746,,-0.08350000000000002,0.1934124740512502
10,PoolSize,0,1777,20,Our Eps-Fair,0.05,0.825,0.2271094086547753,0.817,0.04473173186762744,,-0.008000000000000007,0.18237767678714786
10,PoolSize,0,1777,20,Our Eps-Fair,0.1,0.82875,0.22610083578538548,0.89625,0.09625295427594643,,0.0675,0.12984788150943904
10,PoolSize,0,1777,20,Our Eps-Fair,0.15,0.835,0.22211754799284245,0.96225,0.1471838840356216,,0.12725000000000009,0.07493366395722084
10,PoolSize,0,1777,40,Our Eps-Fair,0.0,0.74225,0.12337491383752475,0.74525,0.018746854460234746,,0.0030000000000000027,0.10462805937729
10,PoolSize,0,1777,40,Our Eps-Fair,0.05,0.82925,0.19467081496638133,0.817,0.04473173186762744,,-0.012250000000000094,0.1499390830987539
10,PoolSize,0,1777,40,Our Eps-Fair,0.1,0.839,0.22405818820409779,0.89625,0.09625295427594643,,0.05725000000000002,0.12780523392815135
10,PoolSize,0,1777,40,Our Eps-Fair,0.15,0.84025,0.21065496982156962,0.96225,0.1471838840356216,,0.122,0.06347108578594801
10,PoolSize,0,1777,60,Our Eps-Fair,0.0,0.74925,0.10202962164016349,0.74525,0.018746854460234746,,-0.0040000000000000036,0.08328276717992875
10,PoolSize,0,1777,60,Our Eps-Fair,0.05,0.80775,0.168762443086513,0.817,0.04473173186762744,,0.00924999999999998,0.12403071121888556
10,PoolSize,0,1777,60,Our Eps-Fair,0.1,0.8355,0.20866332592529813,0.89625,0.09625295427594643,,0.06074999999999997,0.11241037164935169
10,PoolSize,0,1777,60,Our Eps-Fair,0.15,0.84275,0.20965489756634914,0.96225,0.1471838840356216,,0.11950000000000005,0.06247101353072754
10,PoolSize,0,1777,80,Our Eps-Fair,0.0,0.77075,0.108004553328978,0.74525,0.018746854460234746,,-0.025500000000000078,0.08925769886874325
10,PoolSize,0,1777,80,Our Eps-Fair,0.05,0.83375,0.1836955220014646,0.817,0.04473173186762744,,-0.016750000000000043,0.13896379013383717
10,PoolSize,0,1777,80,Our Eps-Fair,0.1,0.832,0.2205961880745884,0.89625,0.09625295427594643,,0.06425000000000003,0.12434323379864196
10,PoolSize,0,1777,80,Our Eps-Fair,0.15,0.83725,0.22158775971563946,0.96225,0.1471838840356216,,0.125,0.07440387568001786
10,PoolSize,0,1777,100,Our Eps-Fair,0.0,0.7575,0.09606319056551836,0.74525,0.018746854460234746,,-0.012249999999999983,0.07731633610528361
10,PoolSize,0,1777,100,Our Eps-Fair,0.05,0.79,0.12623337036100857,0.817,0.04473173186762744,,0.026999999999999913,0.08150163849338113
10,PoolSize,0,1777,100,Our Eps-Fair,0.1,0.8395,0.17267772596570102,0.89625,0.09625295427594643,,0.05674999999999997,0.07642477168975459
10,PoolSize,0,1777,100,Our Eps-Fair,0.15,0.8475,0.1976200280470264,0.96225,0.1471838840356216,,0.11475000000000002,0.05043614401140481
10,PoolSize,0,1777,120,Our Eps-Fair,0.0,0.755,0.10476156902336192,0.74525,0.018746854460234746,,-0.009750000000000036,0.08601471456312718
10,PoolSize,0,1777,120,Our Eps-Fair,0.05,0.782,0.1272079407737209,0.817,0.04473173186762744,,0.03499999999999992,0.08247620890609347
10,PoolSize,0,1777,120,Our Eps-Fair,0.1,0.8255,0.14078117143963653,0.89625,0.09625295427594643,,0.07074999999999998,0.0445282171636901
10,PoolSize,0,1777,120,Our Eps-Fair,0.15,0.8465,0.16019332396765668,0.96225,0.1471838840356216,,0.11575000000000002,0.013009439932035072
10,PoolSize,0,1777,140,Our Eps-Fair,0.0,0.72325,0.10172184940361945,0.74525,0.018746854460234746,,0.02200000000000002,0.0829749949433847
10,PoolSize,0,1777,140,Our Eps-Fair,0.05,0.764,0.10895362189918222,0.817,0.04473173186762744,,0.052999999999999936,0.06422189003155478
10,PoolSize,0,1777,140,Our Eps-Fair,0.1,0.8175,0.13632384939811903,0.89625,0.09625295427594643,,0.07874999999999999,0.0400708951221726
10,PoolSize,0,1777,140,Our Eps-Fair,0.15,0.85225,0.17763558417095637,0.96225,0.1471838840356216,,0.1100000000000001,0.03045170013533477
10,PoolSize,0,1777,160,Our Eps-Fair,0.0,0.74025,0.07432036964670696,0.74525,0.018746854460234746,,0.0050000000000000044,0.05557351518647222
10,PoolSize,0,1777,160,Our Eps-Fair,0.05,0.77875,0.10945790833387713,0.817,0.04473173186762744,,0.038249999999999895,0.06472617646624969
10,PoolSize,0,1777,160,Our Eps-Fair,0.1,0.83925,0.1502398548295114,0.89625,0.09625295427594643,,0.05699999999999994,0.053986900553564976
10,PoolSize,0,1777,160,Our Eps-Fair,0.15,0.85275,0.18712351967429647,0.96225,0.1471838840356216,,0.10950000000000004,0.039939635638674864
10,PoolSize,0,1777,180,Our Eps-Fair,0.0,0.7015,0.13349189478939855,0.74525,0.018746854460234746,,0.043749999999999956,0.1147450403291638
10,PoolSize,0,1777,180,Our Eps-Fair,0.05,0.79625,0.10689397308955573,0.817,0.04473173186762744,,0.020749999999999935,0.06216224122192829
10,PoolSize,0,1777,180,Our Eps-Fair,0.1,0.82825,0.14378613854851013,0.89625,0.09625295427594643,,0.06799999999999995,0.0475331842725637
10,PoolSize,0,1777,180,Our Eps-Fair,0.15,0.86075,0.17060957654190517,0.96225,0.1471838840356216,,0.10150000000000003,0.02342569250628357
10,PoolSize,0,1777,200,Our Eps-Fair,0.0,0.72625,0.0885934008732131,0.74525,0.018746854460234746,,0.019000000000000017,0.06984654641297836
10,PoolSize,0,1777,200,Our Eps-Fair,0.05,0.79475,0.09927392254090357,0.817,0.04473173186762744,,0.022249999999999992,0.054542190673276134
10,PoolSize,0,1777,200,Our Eps-Fair,0.1,0.83625,0.14276056445078156,0.89625,0.09625295427594643,,0.05999999999999994,0.04650761017483512
10,PoolSize,0,1777,200,Our Eps-Fair,0.15,0.855,0.18062730032244828,0.96225,0.1471838840356216,,0.10725000000000007,0.03344341628682668
10,PoolSize,0,1777,220,Our Eps-Fair,0.0,0.7475,0.0540469048888782,0.74525,0.018746854460234746,,-0.0022500000000000853,0.035300050428643454
10,PoolSize,0,1777,220,Our Eps-Fair,0.05,0.80125,0.09981221143227598,0.817,0.04473173186762744,,0.01574999999999993,0.05508047956464854
10,PoolSize,0,1777,220,Our Eps-Fair,0.1,0.8385,0.14127320698920498,0.89625,0.09625295427594643,,0.05774999999999997,0.045020252713258546
10,PoolSize,0,1777,220,Our Eps-Fair,0.15,0.85625,0.18510637393551688,0.96225,0.1471838840356216,,0.1060000000000001,0.03792248989989527
10,PoolSize,0,1777,240,Our Eps-Fair,0.0,0.75275,0.05089842741138048,0.74525,0.018746854460234746,,-0.007500000000000062,0.032151572951145735
10,PoolSize,0,1777,240,Our Eps-Fair,0.05,0.8095,0.10280392758376793,0.817,0.04473173186762744,,0.007499999999999951,0.05807219571614049
10,PoolSize,0,1777,240,Our Eps-Fair,0.1,0.837,0.1357770598925772,0.89625,0.09625295427594643,,0.059250000000000025,0.03952410561663078
10,PoolSize,0,1777,240,Our Eps-Fair,0.15,0.86225,0.17860165396949929,0.96225,0.1471838840356216,,0.10000000000000009,0.03141776993387768
10,PoolSize,0,1777,260,Our Eps-Fair,0.0,0.75075,0.06222024541273108,0.74525,0.018746854460234746,,-0.00550000000000006,0.04347339095249633
10,PoolSize,0,1777,260,Our Eps-Fair,0.05,0.81025,0.09788482217840239,0.817,0.04473173186762744,,0.006749999999999923,0.05315309031077495
10,PoolSize,0,1777,260,Our Eps-Fair,0.1,0.84475,0.16221046970643627,0.89625,0.09625295427594643,,0.05149999999999999,0.06595751543048983
10,PoolSize,0,1777,260,Our Eps-Fair,0.15,0.86225,0.17529641516599576,0.96225,0.1471838840356216,,0.10000000000000009,0.028112531130374152
10,PoolSize,0,1777,280,Our Eps-Fair,0.0,0.7505,0.06472467635786686,0.74525,0.018746854460234746,,-0.005249999999999977,0.04597782189763211
10,PoolSize,0,1777,280,Our Eps-Fair,0.05,0.8005,0.10391925816640252,0.817,0.04473173186762744,,0.01649999999999996,0.05918752629877508
10,PoolSize,0,1777,280,Our Eps-Fair,0.1,0.842,0.1807840616484541,0.89625,0.09625295427594643,,0.05425000000000002,0.08453110737250766
10,PoolSize,0,1777,280,Our Eps-Fair,0.15,0.8605,0.17529641516599576,0.96225,0.1471838840356216,,0.10175000000000001,0.028112531130374152
10,PoolSize,0,1777,300,Our Eps-Fair,0.0,0.7475,0.0627755355324422,0.74525,0.018746854460234746,,-0.0022500000000000853,0.04402868107220745
10,PoolSize,0,1777,300,Our Eps-Fair,0.05,0.80725,0.0992654219267342,0.817,0.04473173186762744,,0.009749999999999925,0.05453369005910676
10,PoolSize,0,1777,300,Our Eps-Fair,0.1,0.84925,0.1512606785840277,0.89625,0.09625295427594643,,0.04700000000000004,0.05500772430808126
10,PoolSize,0,1777,300,Our Eps-Fair,0.15,0.8645,0.17529641516599576,0.96225,0.1471838840356216,,0.09775,0.028112531130374152
10,TrainingSize,1,11777,100,Unfair,,0.55575,0.18106062954566593,0.97275,0.17302755724801522,,0.41700000000000004,0.008033072297650712
10,TrainingSize,1,11777,100,Our Eps-Fair,0.0,0.49775,0.022086698780289016,0.74525,0.04104986944882508,,0.24749999999999994,-0.01896317066853606
10,TrainingSize,1,11777,100,Our Eps-Fair,0.05,0.53125,0.06772260950348552,0.82725,0.0580445224007016,,0.29600000000000004,0.009678087102783922
10,TrainingSize,1,11777,100,Our Eps-Fair,0.1,0.54775,0.10300892708034372,0.8965,0.10345043105387948,,0.34875,-0.00044150397353576176
10,TrainingSize,1,11777,100,Our Eps-Fair,0.15,0.55525,0.14904234138107242,0.962,0.15498839489555405,,0.40674999999999994,-0.005946053514481631
10,TrainingSize,1,11777,200,Unfair,,0.668,0.1589974309768788,0.97275,0.17302755724801522,,0.30474999999999997,-0.014030126271136423
10,TrainingSize,1,11777,200,Our Eps-Fair,0.0,0.5835,0.04682442141979279,0.74525,0.04104986944882508,,0.16174999999999995,0.005774551970967712
10,TrainingSize,1,11777,200,Our Eps-Fair,0.05,0.62725,0.06398457586118275,0.82725,0.0580445224007016,,0.20000000000000007,0.005940053460481154
10,TrainingSize,1,11777,200,Our Eps-Fair,0.1,0.658,0.11648054832493493,0.8965,0.10345043105387948,,0.23849999999999993,0.01303011727105545
10,TrainingSize,1,11777,200,Our Eps-Fair,0.15,0.668,0.1589974309768788,0.962,0.15498839489555405,,0.29399999999999993,0.004009036081324746
10,TrainingSize,1,11777,300,Unfair,,0.72375,0.17795460159141435,0.97275,0.17302755724801522,,0.249,0.004927044343399134
10,TrainingSize,1,11777,300,Our Eps-Fair,0.0,0.6195,0.03135278217503959,0.74525,0.04104986944882508,,0.12574999999999992,-0.009697087273785487
10,TrainingSize,1,11777,300,Our Eps-Fair,0.05,0.66925,0.053230979078811705,0.82725,0.0580445224007016,,0.15800000000000003,-0.004813543321889893
10,TrainingSize,1,11777,300,Our Eps-Fair,0.1,0.7015,0.11105999953999587,0.8965,0.10345043105387948,,0.19499999999999995,0.007609568486116394
10,TrainingSize,1,11777,300,Our Eps-Fair,0.15,0.721,0.15309337784040059,0.962,0.15498839489555405,,0.241,-0.001895017055153464
10,TrainingSize,1,11777,400,Unfair,,0.749,0.19747427726849542,0.97275,0.17302755724801522,,0.22375,0.024446720020480206
10,TrainingSize,1,11777,400,Our Eps-Fair,0.0,0.62775,0.03436480928328356,0.74525,0.04104986944882508,,0.11749999999999994,-0.006685060165541518
10,TrainingSize,1,11777,400,Our Eps-Fair,0.05,0.679,0.061647054823493405,0.82725,0.0580445224007016,,0.14825,0.003602532422791807
10,TrainingSize,1,11777,400,Our Eps-Fair,0.1,0.724,0.11090699816298347,0.8965,0.10345043105387948,,0.1725,0.007456567109103987
10,TrainingSize,1,11777,400,Our Eps-Fair,0.15,0.745,0.1444257998321985,0.962,0.15498839489555405,,0.21699999999999997,-0.010562595063355551
10,TrainingSize,1,11777,500,Unfair,,0.77775,0.19043521391692525,0.97275,0.17302755724801522,,0.19499999999999995,0.017407656668910032
10,TrainingSize,1,11777,500,Our Eps-Fair,0.0,0.6455,0.04727842550582956,0.74525,0.04104986944882508,,0.09975,0.006228556057004481
10,TrainingSize,1,11777,500,Our Eps-Fair,0.05,0.698,0.0590765316887852,0.82725,0.0580445224007016,,0.1292500000000001,0.001032009288083599
